Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,20,MIL,NBA,PG,82,82,2671,8.8,23.8,.371,2.8,7.6,.374,6.0,16.2,.370,.431,4.4,5.4,.817,1.0,4.6,5.5,9.2,2.1,0.4,3.9,3.7,24.9,100,104,ROY-3
2010-11,21,MIL,NBA,PG,63,61,2169,8.9,22.8,.390,2.4,7.5,.323,6.5,15.4,.422,.443,4.9,6.1,.809,1.0,4.7,5.8,7.5,2.3,0.5,3.6,3.2,25.1,100,103,
2011-12,22,MIL,NBA,PG,66,66,2331,10.3,24.6,.418,2.8,8.5,.332,7.5,16.1,.464,.476,4.2,5.2,.808,1.1,3.9,5.0,8.0,2.3,0.5,3.2,2.5,27.7,106,107,
2012-13,23,MIL,NBA,PG,80,80,2897,8.7,21.8,.399,3.0,8.1,.375,5.7,13.8,.412,.468,4.0,4.9,.819,1.0,3.3,4.3,9.1,2.2,0.2,3.6,2.7,24.4,106,108,
2013-14,24,DET,NBA,PG,80,79,2728,7.8,21.0,.373,2.9,8.5,.337,5.0,12.6,.397,.441,4.5,5.9,.751,1.1,3.4,4.5,11.3,1.9,0.1,4.0,2.9,23.0,106,113,
2014-15,25,DET,NBA,PG,41,41,1173,9.6,23.9,.401,3.4,9.3,.360,6.3,14.6,.428,.471,5.3,6.3,.839,0.9,3.7,4.6,12.0,1.9,0.2,4.0,2.8,27.9,110,109,
2015-16,26,2TM,NBA,PG,48,7,868,6.5,17.6,.368,3.0,9.0,.329,3.5,8.6,.409,.452,3.3,4.5,.731,0.9,4.6,5.6,9.8,1.7,0.4,3.3,3.3,19.2,105,108,
2015-16,26,DET,NBA,PG,23,1,416,6.4,17.3,.371,2.9,9.3,.312,3.5,8.0,.439,.455,3.3,4.6,.711,0.6,5.0,5.6,8.5,1.3,0.2,2.7,2.9,19.0,107,108,
2015-16,26,ORL,NBA,PG,25,6,452,6.5,17.8,.366,3.0,8.6,.346,3.5,9.2,.386,.450,3.3,4.4,.750,1.2,4.3,5.5,11.1,2.0,0.6,3.9,3.7,19.4,103,108,
2016-17,27,2TM,NBA,PG,81,13,1802,5.3,14.8,.359,2.2,7.0,.313,3.1,7.8,.399,.433,3.2,4.2,.750,0.8,4.6,5.4,10.9,1.9,0.1,3.5,3.2,16.0,104,113,
2016-17,27,NYK,NBA,PG,58,11,1428,5.7,15.0,.380,2.4,7.0,.340,3.3,8.0,.415,.459,3.6,4.7,.756,0.7,4.6,5.3,10.1,1.9,0.1,3.7,2.9,17.4,105,113,
2016-17,27,WAS,NBA,PG,23,2,374,3.8,14.0,.274,1.5,6.9,.212,2.4,7.1,.333,.325,1.6,2.2,.706,1.1,4.7,5.8,14.2,2.0,0.0,2.9,4.2,10.7,98,111,
2017-18,28,MIL,NBA,PG,14,0,205,6.6,17.5,.375,2.2,8.0,.273,4.4,9.5,.462,.438,2.4,2.4,1.000,1.2,6.3,7.5,10.7,1.5,1.0,4.4,2.7,17.8,99,111,
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,555,429,16844,8.4,21.6,.387,2.8,8.1,.345,5.6,13.6,.412,.452,4.2,5.3,.796,1.0,4.0,5.1,9.6,2.1,0.3,3.7,3.0,23.8,104,108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (5 Yrs),MIL (5 Yrs),MIL (5 Yrs),MIL (5 Yrs),,305,289,10273,9.1,23.1,.394,2.8,7.9,.352,6.3,15.2,.416,.454,4.3,5.3,.815,1.0,4.1,5.1,8.6,2.2,0.4,3.6,3.0,25.3,103,106,
DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),,144,121,4317,8.2,21.5,.381,3.0,8.8,.341,5.2,12.7,.409,.451,4.6,5.9,.773,1.0,3.6,4.6,11.2,1.8,0.2,3.9,2.9,23.9,107,111,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,58,11,1428,5.7,15.0,.380,2.4,7.0,.340,3.3,8.0,.415,.459,3.6,4.7,.756,0.7,4.6,5.3,10.1,1.9,0.1,3.7,2.9,17.4,105,113,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,25,6,452,6.5,17.8,.366,3.0,8.6,.346,3.5,9.2,.386,.450,3.3,4.4,.750,1.2,4.3,5.5,11.1,2.0,0.6,3.9,3.7,19.4,103,108,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,23,2,374,3.8,14.0,.274,1.5,6.9,.212,2.4,7.1,.333,.325,1.6,2.2,.706,1.1,4.7,5.8,14.2,2.0,0.0,2.9,4.2,10.7,98,111,
