Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2001-02,19,CHI,NBA,C,72,31,1150,189,377,.501,0,0,,189,377,.501,.501,105,160,.656,111,161,272,25,16,53,69,173,483,0,
2002-03,20,CHI,NBA,C,81,48,1571,335,573,.585,0,0,,335,573,.585,.585,179,287,.624,116,237,353,37,18,62,137,226,849,0,
2003-04,21,CHI,NBA,PF,73,63,2154,417,840,.496,1,1,1.000,416,839,.496,.497,235,350,.671,143,308,451,68,24,83,177,258,1070,0,
2004-05,22,CHI,NBA,C,63,60,1808,393,730,.538,0,0,,393,730,.538,.538,226,314,.720,116,222,338,37,21,58,163,202,1012,0,
2005-06,23,NYK,NBA,C,72,69,1865,336,597,.563,0,0,,336,597,.563,.563,307,486,.632,145,287,432,19,28,56,179,239,979,0,
2006-07,24,NYK,NBA,C,81,81,2849,585,1016,.576,1,1,1.000,584,1015,.575,.576,405,659,.615,195,376,571,68,34,40,295,265,1576,0,
2007-08,25,NYK,NBA,C,59,58,1530,297,544,.546,0,0,,297,544,.546,.546,187,300,.623,111,164,275,32,14,29,126,157,781,0,
2008-09,26,NYK,NBA,C,3,0,12,2,2,1.000,0,0,,2,2,1.000,1.000,1,3,.333,0,4,4,0,0,0,2,5,5,0,
2009-10,27,NYK,NBA,C,7,0,62,8,21,.381,0,0,,8,21,.381,.381,10,17,.588,4,9,13,0,0,1,13,13,26,0,
2010-11,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other,Did not play - other
2011-12,29,MIA,NBA,C,14,1,83,12,26,.462,0,0,,12,26,.462,.462,6,8,.750,4,8,12,1,0,2,10,17,30,0,
2012-13,30,DAL,NBA,C,2,0,25,4,8,.500,0,0,,4,8,.500,.500,1,4,.250,2,2,4,0,0,0,3,7,9,0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,527,411,13109,2578,4734,.545,2,2,1.000,2576,4732,.544,.545,1662,2588,.642,947,1778,2725,287,155,384,1174,1562,6820,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,64,2040,401,737,.545,0,0,1.000,401,736,.544,.545,259,403,.642,147,277,424,45,24,60,183,243,1061,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (5 Yrs),NYK (5 Yrs),NYK (5 Yrs),NYK (5 Yrs),,222,208,6318,1228,2180,.563,1,1,1.000,1227,2179,.563,.564,910,1465,.621,455,840,1295,119,76,126,615,679,3367,0,
CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,289,202,6683,1334,2520,.529,1,1,1.000,1333,2519,.529,.530,745,1111,.671,486,928,1414,167,79,256,546,859,3414,0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,14,1,83,12,26,.462,0,0,,12,26,.462,.462,6,8,.750,4,8,12,1,0,2,10,17,30,0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,2,0,25,4,8,.500,0,0,,4,8,.500,.500,1,4,.250,2,2,4,0,0,0,3,7,9,0,
