"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Thomas Robinson,,1.6,1.5,0.9,0.6,-0.1
Rafael Addison,87.2,1.5,1.5,0.9,0.4,0.2
Brian Scalabrine,86.8,1.7,1.4,1.0,0.3,-0.1
Darvin Ham,86.2,1.7,1.2,0.9,0.9,0.1
Charles Pittman,86.2,1.7,1.5,0.9,0.1,
Anthony Randolph,84.6,1.6,1.5,1.1,0.5,0.5
Solomon Jones,83.5,1.9,1.6,0.8,0.5,0.0
John Wallace,82.5,1.6,1.5,1.0,1.0,0.3
Wesley Johnson,81.4,1.9,1.7,1.3,0.6,0.0
Dillon Brooks,81.3,1.6,1.4,1.2,1.2,0.0
Jud Buechler,81.3,1.8,1.5,1.2,0.5,0.4
