"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Joffrey Lauvergne,,2.3,1.5,1.3,0.1
Charlie Tyra,91.6,2.3,1.5,1.1,-0.2
Greg Stiemsma,85.4,2.7,1.7,1.5,0.1
Festus Ezeli,84.5,2.7,1.7,1.5,
Kendrick Perkins,84.5,2.3,1.4,0.7,0.1
Jahlil Okafor,81.5,2.2,1.2,1.2,0.6
James Wiseman,81.5,2.1,1.4,0.7,0.0
Predrag Drobnjak,81.1,2.4,1.6,1.0,0.7
Goga Bitadze,80.8,1.9,1.5,1.3,0.7
George Nostrand,80.1,2.0,2.0,1.3,0.4
Harvey Catchings,79.4,2.3,1.7,1.4,1.2
