Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,19,MIL,NBA,PF,25.0,25.0,738.0,8.9,18.2,0.49,0.3,1.1,0.25,8.6,17.1,0.506,0.498,3.2,4.6,0.697,3.5,6.1,9.5,2.9,2.1,0.3,3.2,2.9,21.3,101.0,103.0,
2015-16,20,MIL,NBA,PF,76.0,72.0,2408.0,9.4,19.0,0.493,0.2,0.7,0.257,9.2,18.3,0.502,0.498,3.7,4.8,0.768,2.6,5.8,8.4,2.7,1.5,0.6,2.5,3.3,22.6,106.0,111.0,
2016-17,21,MIL,NBA,PF,51.0,50.0,1728.0,11.7,23.9,0.49,1.9,5.2,0.365,9.8,18.7,0.525,0.53,4.8,6.4,0.743,2.3,6.9,9.2,4.2,1.5,0.6,2.7,3.3,30.1,110.0,110.0,
2017-18,22,MIL,NBA,PF,31.0,3.0,743.0,10.7,22.3,0.482,2.1,5.4,0.383,8.7,16.8,0.514,0.529,2.7,3.6,0.741,2.8,7.3,10.1,4.0,1.7,0.7,3.0,3.4,26.2,106.0,111.0,
2018-19,23,2TM,NBA,PF,64.0,17.0,1724.0,10.3,20.9,0.493,1.7,5.4,0.313,8.6,15.4,0.556,0.533,3.7,5.1,0.712,2.2,9.5,11.7,4.2,1.3,0.8,4.2,4.0,25.9,102.0,113.0,
2018-19,23,CHI,NBA,PF,39.0,17.0,1042.0,10.2,21.6,0.474,1.7,5.3,0.325,8.5,16.3,0.523,0.514,3.7,5.0,0.731,1.9,9.3,11.2,3.9,1.1,0.7,3.9,4.0,25.9,100.0,113.0,
2018-19,23,WAS,NBA,PF,25.0,0.0,682.0,10.3,19.8,0.523,1.7,5.6,0.296,8.7,14.2,0.613,0.565,3.6,5.3,0.684,2.6,9.9,12.5,4.7,1.6,1.1,4.7,4.0,26.0,105.0,112.0,
2019-20,24,2TM,NBA,PF,38.0,23.0,917.0,11.2,21.9,0.51,1.6,6.1,0.269,9.5,15.8,0.603,0.548,3.1,4.1,0.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,5.0,27.1,108.0,112.0,
2019-20,24,ATL,NBA,PF,32.0,23.0,837.0,11.0,21.9,0.504,1.7,6.4,0.27,9.3,15.5,0.601,0.543,3.0,4.0,0.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,106.0,113.0,
2019-20,24,SAC,NBA,PF,6.0,0.0,80.0,12.7,21.8,0.583,0.6,2.4,0.25,12.1,19.4,0.625,0.597,4.9,5.5,0.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,3.6,30.9,129.0,110.0,
2020-21,25,2TM,NBA,PF,13.0,0.0,165.0,8.9,16.2,0.545,0.6,3.2,0.182,8.3,13.0,0.636,0.564,3.0,3.8,0.769,3.0,9.4,12.4,3.2,0.3,1.5,3.0,3.8,21.3,113.0,114.0,
2020-21,25,SAC,NBA,PF,3.0,0.0,27.0,7.1,12.4,0.571,0.0,1.8,0.0,7.1,10.7,0.667,0.571,0.0,0.0,,1.8,8.9,10.7,1.8,0.0,1.8,5.3,7.1,14.2,83.0,118.0,
2020-21,25,BOS,NBA,PF,10.0,0.0,138.0,9.2,17.0,0.542,0.7,3.5,0.2,8.5,13.5,0.632,0.563,3.5,4.6,0.769,3.2,9.6,12.7,3.5,0.4,1.4,2.5,3.2,22.7,118.0,114.0,
2021-22,26,BOS,NBA,PF,12.0,0.0,112.0,8.0,16.9,0.474,3.5,7.1,0.5,4.4,9.8,0.455,0.579,4.0,4.0,1.0,2.2,10.2,12.4,2.7,1.8,0.4,3.5,5.8,23.5,113.0,105.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,310.0,190.0,8535.0,10.3,20.8,0.494,1.2,3.8,0.326,9.1,17.0,0.531,0.523,3.7,5.0,0.743,2.6,7.3,9.9,3.6,1.6,0.7,3.1,3.6,25.5,106.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),MIL (4 Yrs),,183.0,150.0,5617.0,10.2,20.9,0.49,1.0,2.8,0.352,9.2,18.1,0.512,0.514,3.8,5.1,0.747,2.7,6.4,9.0,3.4,1.6,0.6,2.7,3.2,25.2,107.0,110.0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,22.0,0.0,250.0,8.7,16.9,0.512,2.0,5.1,0.385,6.7,11.8,0.567,0.57,3.7,4.3,0.864,2.8,9.8,12.6,3.2,1.0,1.0,3.0,4.3,23.0,116.0,110.0,
SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),SAC (2 Yrs),,9.0,0.0,107.0,11.3,19.4,0.581,0.5,2.3,0.2,10.9,17.2,0.632,0.593,3.6,4.1,0.889,3.6,9.5,13.1,5.0,1.4,0.9,3.2,4.5,26.7,121.0,112.0,
