"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Damian Jones,,3.3,2.8,1.6,1.5,1.2,0.8,0.1,0.0
Cedi Osman,90.6,3.3,2.9,1.9,1.6,1.5,0.9,0.5,
Solomon Hill,86.3,3.5,2.7,2.1,1.4,1.3,0.5,0.4,-0.1
Don Adams,85.8,3.6,2.9,1.6,1.1,0.9,0.8,0.7,
Jared Jeffries,84.8,3.1,2.6,2.2,1.2,1.2,0.6,0.3,0.1
Monty Williams,83.8,3.1,2.9,2.3,1.3,1.2,0.3,0.0,-0.1
Marvin Bagley III,83.4,3.6,2.7,2.0,2.0,1.4,0.6,0.4,
Tim Bassett,83.2,3.7,2.6,2.4,1.5,1.4,1.1,0.1,
Brian Skinner,82.7,4.1,2.7,1.9,1.9,1.1,0.9,0.3,0.1
Ryan Bowen,82.0,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.2
Matt Bullard,81.9,3.4,2.5,2.4,1.7,1.0,0.6,0.5,0.2
