Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,21,UTA,NBA,SG,68.0,7.0,906.0,4.8,13.0,0.372,1.2,3.4,0.353,3.7,9.7,0.379,0.418,2.5,3.8,0.667,2.0,2.8,4.8,1.4,1.0,0.8,2.3,4.6,13.4,
2005-06,22,NOK,NBA,SG,68.0,45.0,1310.0,5.6,12.4,0.453,1.3,3.5,0.357,4.4,8.9,0.491,0.503,2.4,3.2,0.735,1.5,2.9,4.4,2.8,0.8,0.6,1.9,2.9,14.9,
2006-07,23,HOU,NBA,SF,39.0,1.0,563.0,4.2,9.3,0.452,0.7,2.8,0.25,3.5,6.5,0.539,0.49,3.1,4.8,0.653,1.1,4.2,5.3,2.5,0.7,0.8,1.7,3.3,12.3,
2007-08,24,2TM,NBA,PF,36.0,18.0,761.0,4.5,8.9,0.508,0.2,1.1,0.217,4.3,7.9,0.548,0.521,3.0,4.2,0.727,1.4,4.5,6.0,3.0,0.9,0.7,2.5,2.6,12.3,
2007-08,24,HOU,NBA,PF,9.0,0.0,81.0,5.8,12.4,0.464,0.9,4.0,0.222,4.9,8.4,0.579,0.5,2.7,4.9,0.545,2.2,3.1,5.3,3.6,0.4,0.4,1.8,2.7,15.1,
2007-08,24,MIN,NBA,SF,27.0,18.0,680.0,4.4,8.5,0.516,0.2,0.7,0.214,4.2,7.8,0.544,0.525,3.1,4.1,0.753,1.3,4.7,6.0,3.0,1.0,0.7,2.5,2.6,12.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,211.0,71.0,3540.0,5.0,11.3,0.438,0.9,2.9,0.327,4.0,8.5,0.475,0.479,2.7,3.8,0.699,1.5,3.4,5.0,2.5,0.9,0.7,2.1,3.3,13.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,48.0,1.0,644.0,4.4,9.7,0.454,0.7,3.0,0.245,3.7,6.8,0.545,0.491,3.1,4.8,0.64,1.2,4.1,5.3,2.6,0.7,0.7,1.7,3.2,12.6,
NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),,68.0,45.0,1310.0,5.6,12.4,0.453,1.3,3.5,0.357,4.4,8.9,0.491,0.503,2.4,3.2,0.735,1.5,2.9,4.4,2.8,0.8,0.6,1.9,2.9,14.9,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,68.0,7.0,906.0,4.8,13.0,0.372,1.2,3.4,0.353,3.7,9.7,0.379,0.418,2.5,3.8,0.667,2.0,2.8,4.8,1.4,1.0,0.8,2.3,4.6,13.4,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,27.0,18.0,680.0,4.4,8.5,0.516,0.2,0.7,0.214,4.2,7.8,0.544,0.525,3.1,4.1,0.753,1.3,4.7,6.0,3.0,1.0,0.7,2.5,2.6,12.0,
