Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2010-11,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2011-12,22,POR,NBA,SG,24,0,149,18.8,.537,.365,.243,5.4,9.6,7.4,8.0,2.1,1.6,5.8,26.7,0.2,0.1,0.3,.105,0.7,-0.8,-0.1,0.1,
2012-13,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2013-14,24,PHI,NBA,SG,67,2,1157,8.7,.519,.371,.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,0.0,0.3,0.3,.014,-3.9,-1.7,-5.6,-1.1,
2014-15,25,2TM,NBA,SG,13,0,119,8.7,.477,.486,.108,0.0,7.7,3.8,15.5,1.8,0.0,9.4,16.4,0.0,0.1,0.1,.039,-2.7,-0.2,-2.8,0.0,
2014-15,25,UTA,NBA,SG,5,0,42,14.4,.648,.538,.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,0.0,0.0,0.1,.090,3.1,0.6,3.6,0.1,
2014-15,25,NOP,NBA,SG,8,0,77,5.6,.382,.458,.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,0.0,0.0,0.0,.012,-5.8,-0.6,-6.4,-0.1,
2015-16,26,MEM,NBA,PG,5,0,45,3.3,.340,.400,.400,2.4,7.9,5.1,12.4,0.0,0.0,7.8,12.7,0.0,0.0,0.0,-0.046,-5.3,-2.6,-7.9,-0.1,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,109,2,1470,9.5,.515,.380,.317,2.7,9.5,6.0,9.8,1.5,0.3,13.0,17.6,0.2,0.5,0.7,.024,-3.4,-1.6,-4.9,-1.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,2,1106,9.5,.515,.380,.317,2.7,9.5,6.0,9.8,1.5,0.3,13.0,17.6,0.2,0.4,0.5,.024,-3.4,-1.6,-4.9,-0.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,67,2,1157,8.7,.519,.371,.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,0.0,0.3,0.3,.014,-3.9,-1.7,-5.6,-1.1,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,24,0,149,18.8,.537,.365,.243,5.4,9.6,7.4,8.0,2.1,1.6,5.8,26.7,0.2,0.1,0.3,.105,0.7,-0.8,-0.1,0.1,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,8,0,77,5.6,.382,.458,.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,0.0,0.0,0.0,.012,-5.8,-0.6,-6.4,-0.1,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,5,0,45,3.3,.340,.400,.400,2.4,7.9,5.1,12.4,0.0,0.0,7.8,12.7,0.0,0.0,0.0,-0.046,-5.3,-2.6,-7.9,-0.1,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,5,0,42,14.4,.648,.538,.154,0.0,8.2,4.1,16.1,2.5,0.0,22.4,19.5,0.0,0.0,0.1,.090,3.1,0.6,3.6,0.1,
