"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Channing Frye,,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,1.5,0.9,0.8,0.1
JaVale McGee,89.7,5.9,5.3,4.9,4.7,4.1,3.5,2.7,2.1,2.0,1.1,1.0,0.4,-0.1
Rasho NesteroviÄ,89.7,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3.0,2.2,1.5,0.8,0.0,
Zaza Pachulia,89.5,6.0,5.0,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Kent Benson,89.0,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,
Ervin Johnson,88.9,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0
Leroy Ellis,88.3,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Chris Andersen,87.5,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0.0
Greg Ostertag,87.0,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,
Tony Battie,86.6,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.0
Olden Polynice,85.9,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,1.6,1.5,1.5
