Season,Team,Lg,Salary
2009-10,Los Angeles Clippers,NBA,"$4,983,480"
2010-11,Los Angeles Clippers,NBA,"$5,357,280"
2011-12,Los Angeles Clippers,NBA,"$5,731,080"
2012-13,Los Angeles Clippers,NBA,"$7,226,892"
2013-14,Los Angeles Clippers,NBA,"$16,441,500"
2014-15,Los Angeles Clippers,NBA,"$17,674,612"
2015-16,Los Angeles Clippers,NBA,"$18,907,725"
2016-17,Los Angeles Clippers,NBA,"$20,140,838"
2017-18,Detroit Pistons,NBA,"$29,727,900"
2018-19,Detroit Pistons,NBA,"$32,088,932"
2019-20,Detroit Pistons,NBA,"$34,234,964"
2020-21,Detroit Pistons,NBA,"$32,670,565"
2020-21,Brooklyn Nets,NBA,"$776,983"
2021-22,Detroit Pistons,NBA,"$29,764,126"
2021-22,Brooklyn Nets,NBA,"$2,641,691"
2022-23,Boston Celtics,NBA,"$1,836,090"
Career,(may be incomplete),,"$260,204,658"
