Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2003-04,21,PHO,NBA,PG,70,46,1500,12.7,.553,.447,.130,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,0.9,1.0,1.9,.061,-1.3,0.5,-0.8,0.5,
2004-05,22,PHO,NBA,PG,63,6,1087,12.8,.575,.393,.195,3.3,9.2,6.4,16.7,1.4,0.4,18.5,18.9,1.2,0.6,1.8,.081,-0.9,-0.6,-1.5,0.1,
2005-06,23,PHO,NBA,SG,57,11,1592,15.1,.589,.346,.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,2.6,1.2,3.8,.115,0.4,-0.5,-0.1,0.8,6MOY-7
2006-07,24,PHO,NBA,SG,80,18,2613,18.4,.595,.394,.209,1.0,8.1,4.8,18.7,1.8,0.4,10.7,23.4,6.1,2.1,8.2,.151,2.6,0.1,2.7,3.1,6MOY-1
2007-08,25,PHO,NBA,SG,82,12,2421,15.8,.575,.413,.209,2.0,8.2,5.4,13.5,1.5,0.5,9.5,22.8,3.9,1.6,5.5,.109,1.1,-0.9,0.2,1.4,6MOY-2
2008-09,26,PHO,NBA,SG,70,11,1705,19.4,.588,.316,.256,2.4,9.7,6.2,14.9,2.4,0.3,9.9,24.2,4.0,1.0,5.0,.141,2.4,-0.4,1.9,1.7,6MOY-10
2009-10,27,PHO,NBA,PG,44,5,786,14.0,.526,.373,.200,1.7,7.9,5.0,12.5,1.5,1.1,10.4,24.9,0.7,0.4,1.1,.065,-0.8,-1.3,-2.1,0.0,
2010-11,28,TOR,NBA,SG,58,0,1395,15.3,.539,.326,.210,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,.052,0.4,-1.7,-1.3,0.2,
2011-12,29,2TM,NBA,SG,64,0,1382,14.0,.512,.267,.195,2.8,7.9,5.3,13.3,2.2,0.4,12.0,26.5,0.5,1.2,1.7,.060,-0.6,-0.6,-1.2,0.3,
2011-12,29,TOR,NBA,SG,42,0,946,14.2,.518,.244,.200,2.6,7.1,4.9,13.3,2.0,0.6,12.1,28.0,0.2,0.8,1.0,.052,-0.5,-0.6,-1.1,0.2,
2011-12,29,IND,NBA,SG,22,0,436,13.4,.496,.322,.180,3.1,9.5,6.3,13.3,2.4,0.0,11.6,23.2,0.2,0.5,0.7,.076,-0.7,-0.7,-1.4,0.1,
2012-13,30,BOS,NBA,PG,41,2,513,13.5,.509,.244,.212,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,0.4,0.5,0.9,.086,-1.0,0.3,-0.7,0.2,
2013-14,31,PHO,NBA,PG,20,0,368,11.5,.506,.191,.298,1.5,9.7,5.6,13.4,1.0,0.8,11.4,20.0,0.2,0.2,0.4,.058,-1.8,-1.0,-2.8,-0.1,
