"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Darrell Arthur,,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0.0,
Don Adams,84.8,3.6,2.9,1.6,1.1,0.9,0.8,0.7,,,
Wally Walker,84.3,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,,
Steve Kuberski,83.7,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,
Ryan Bowen,83.3,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1
Joe Bryant,82.9,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0.0,,
Marvin Bagley III,82.6,3.6,2.7,2.0,2.0,1.4,0.6,0.4,,,
Cedi Osman,82.5,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,,
Solomon Hill,81.6,3.5,2.7,2.1,1.4,1.3,0.5,0.4,0.0,-0.1,
Damian Jones,81.4,3.3,2.8,1.6,1.5,1.2,0.8,0.1,0.0,,
Jarvis Hayes,81.3,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,,
