"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Jimmy Butler,,13.8,12.3,11.2,9.3,9.2,9.1,9.1,9.0,8.9,8.7,7.9,7.1,7.0,1.1
Rick Barry,92.0,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4
Elvin Hayes,90.7,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1
John Havlicek,89.1,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,4.5,4.3
Paul Pierce,88.6,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.1,7.0,5.4,4.9
Chet Walker,87.8,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,
LaMarcus Aldridge,86.8,11.1,10.9,10.1,9.5,9.3,8.8,8.6,7.5,7.2,7.2,7.0,6.2,4.5,3.4
Anthony Davis,86.5,14.0,13.7,11.8,11.1,11.0,10.4,9.5,9.0,7.2,6.7,6.1,4.5,3.7,
Horace Grant,86.2,14.1,10.3,10.0,9.5,9.1,8.0,8.0,7.7,7.1,6.5,6.4,5.2,4.2,4.1
Dominique Wilkins,85.7,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7.0,5.8,5.1,3.9,3.4
Larry Nance,85.3,12.2,10.7,10.5,10.3,10.2,9.8,9.8,8.4,8.0,7.9,6.5,2.8,2.4,
