"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Tyrone Wallace,,0.7,-0.1,-0.2,-0.3
Phil Pressey,-21.9,0.8,0.1,-0.1,
Tyler Ulis,-28.7,0.7,0.0,-0.2,
Nate Wolters,-33.3,1.2,-0.1,-0.2,
Charles Smith,-33.6,1.1,0.0,-0.2,
Greg Sutton,-34.9,0.8,0.2,-0.1,
Miye Oni,-35.5,0.9,0.1,0.0,
Raymond Townsend,-35.5,0.8,0.4,-0.2,
Kadeem Allen,-36.8,1.0,0.1,-0.1,
Glenn Hansen,-37.4,0.8,0.4,-0.1,
Gerry Ward,-37.4,1.0,0.4,-0.1,-0.2
