Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2015-16,21,BRK,NBA,SF,29.0,17.0,615.0,14.2,0.519,0.101,0.377,7.0,21.4,14.1,10.1,3.2,2.1,13.9,13.5,0.5,0.7,1.2,0.094,-1.4,2.2,0.8,0.4,
2016-17,22,BRK,NBA,SF,78.0,50.0,1761.0,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.2,0.9,-1.3,0.3,
2017-18,23,BRK,NBA,SF,68.0,59.0,1920.0,16.9,0.548,0.075,0.436,5.5,20.0,12.7,14.2,1.6,1.9,12.3,22.2,2.1,2.0,4.1,0.103,-0.3,0.4,0.1,1.0,
2018-19,24,BRK,NBA,SF,59.0,21.0,1234.0,12.5,0.464,0.101,0.376,7.1,19.2,13.2,11.7,1.7,1.7,10.7,21.6,-0.5,1.7,1.2,0.047,-3.0,0.4,-2.6,-0.2,
2019-20,25,TOR,NBA,PF,60.0,6.0,1122.0,15.1,0.533,0.07,0.435,10.6,15.9,13.3,13.6,2.0,2.0,13.1,17.2,1.4,2.0,3.4,0.146,-1.2,1.5,0.3,0.6,
2020-21,26,POR,NBA,PF,11.0,1.0,107.0,14.4,0.539,0.056,0.889,10.7,15.4,13.0,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,0.147,-1.1,1.2,0.1,0.1,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,305.0,154.0,6759.0,14.6,0.518,0.093,0.43,7.0,19.5,13.2,13.1,2.0,1.9,12.8,19.4,4.3,8.6,12.9,0.091,-1.6,0.9,-0.7,2.3,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,41.0,1817.0,14.6,0.518,0.093,0.43,7.0,19.5,13.2,13.1,2.0,1.9,12.8,19.4,1.1,2.3,3.5,0.091,-1.6,0.9,-0.7,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),,234.0,147.0,5530.0,14.6,0.516,0.097,0.425,6.1,20.3,13.2,13.0,2.0,1.9,12.9,20.0,2.6,6.5,9.1,0.079,-1.7,0.8,-0.9,1.6,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,60.0,6.0,1122.0,15.1,0.533,0.07,0.435,10.6,15.9,13.3,13.6,2.0,2.0,13.1,17.2,1.4,2.0,3.4,0.146,-1.2,1.5,0.3,0.6,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,11.0,1.0,107.0,14.4,0.539,0.056,0.889,10.7,15.4,13.0,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,0.147,-1.1,1.2,0.1,0.1,
