Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2000-01,20,ATL,NBA,SF,78,21,1313,8.4,.463,.326,.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,-0.9,0.9,0.0,.000,-2.8,-0.8,-3.5,-0.5,
2001-02,21,ATL,NBA,SF,72,46,1727,11.3,.513,.457,.194,3.9,12.5,8.2,7.7,1.9,2.4,14.8,18.0,0.2,1.5,1.7,.048,-1.3,0.0,-1.3,0.3,
2002-03,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2003-04,23,NYK,NBA,SF,21,1,287,11.5,.511,.371,.320,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,0.1,0.3,0.4,.069,-1.3,-0.6,-1.8,0.0,
2004-05,24,DEN,NBA,SG,71,40,1232,14.0,.605,.399,.272,4.0,10.0,7.1,9.8,1.8,1.1,13.5,17.4,1.9,1.3,3.2,.123,0.1,0.2,0.3,0.7,
2005-06,25,DEN,NBA,SG,58,21,924,11.7,.545,.523,.137,2.4,9.6,6.1,9.5,1.4,2.1,12.4,17.9,0.5,0.8,1.3,.070,-0.6,-0.2,-0.8,0.3,
2006-07,26,DEN,NBA,SF,39,7,419,6.1,.414,.571,.136,2.7,12.5,7.7,6.0,1.9,2.1,14.2,19.5,-0.7,0.5,-0.3,-0.032,-4.6,0.3,-4.3,-0.2,
2007-08,27,SAS,NBA,SF,5,0,28,17.3,.571,.643,.143,0.0,4.2,2.1,7.2,1.9,0.0,0.0,25.5,0.0,0.0,0.1,.143,1.7,0.8,2.5,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,344,136,5930,11.0,.519,.435,.208,3.7,11.1,7.4,8.3,1.7,1.9,14.6,18.1,1.1,5.3,6.4,.052,-1.5,-0.2,-1.6,0.6,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,32,1414,11.0,.519,.435,.208,3.7,11.1,7.4,8.3,1.7,1.9,14.6,18.1,0.3,1.3,1.5,.052,-1.5,-0.2,-1.6,0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,168,68,2575,11.9,.549,.477,.197,3.3,10.3,6.8,9.1,1.7,1.6,13.3,17.9,1.6,2.6,4.2,.078,-0.9,0.1,-0.8,0.8,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,150,67,3040,10.1,.492,.402,.206,4.2,11.6,7.9,7.8,1.8,2.1,16.1,17.9,-0.7,2.4,1.7,.027,-1.9,-0.3,-2.3,-0.2,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,21,1,287,11.5,.511,.371,.320,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,0.1,0.3,0.4,.069,-1.3,-0.6,-1.8,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,5,0,28,17.3,.571,.643,.143,0.0,4.2,2.1,7.2,1.9,0.0,0.0,25.5,0.0,0.0,0.1,.143,1.7,0.8,2.5,0.0,
