Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,21,GSW,NBA,PG,80,77,2896,8.7,18.9,0.462,2.7,6.3,0.437,6.0,12.6,0.474,0.535,2.9,3.3,0.885,0.8,5.1,5.9,7.8,2.5,0.3,4.0,4.2,23.1,107,111,ROY-2
2010-11,22,GSW,NBA,PG,74,74,2489,10.3,21.4,0.48,3.1,7.0,0.442,7.2,14.5,0.498,0.551,4.3,4.6,0.934,1.1,4.8,5.8,8.8,2.2,0.4,4.6,4.7,27.9,113,112,
2011-12,23,GSW,NBA,PG,26,23,732,10.3,21.0,0.49,3.9,8.6,0.455,6.4,12.4,0.514,0.583,2.7,3.3,0.809,1.1,5.2,6.2,9.8,2.8,0.6,4.6,4.4,27.2,112,108,
2012-13,24,GSW,NBA,PG,78,78,2983,10.7,23.6,0.451,4.6,10.2,0.453,6.0,13.4,0.449,0.549,4.5,5.0,0.9,1.0,4.3,5.3,9.2,2.1,0.2,4.1,3.4,30.4,115,107,MVP-11
2013-14,25,GSW,NBA,PG,78,78,2846,11.4,24.2,0.471,4.6,10.8,0.424,6.9,13.5,0.509,0.566,5.4,6.1,0.885,0.8,5.0,5.9,11.7,2.2,0.2,5.2,3.4,32.8,117,104,"MVP-6,AS,NBA2"
2014-15,26,GSW,NBA,PG,80,80,2613,12.2,25.1,0.487,5.3,12.1,0.443,6.9,13.0,0.528,0.594,5.8,6.3,0.914,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,122,101,"MVP-1,AS,NBA1"
2015-16,27,GSW,NBA,PG,79,79,2700,14.4,28.6,0.504,7.2,15.9,0.454,7.2,12.7,0.566,0.63,6.5,7.2,0.908,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,125,103,"MVP-1,AS,NBA1"
2016-17,28,GSW,NBA,PG,79,79,2638,12.3,26.3,0.468,5.9,14.4,0.411,6.4,11.9,0.537,0.58,5.9,6.6,0.898,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,119,105,"MVP-6,AS,NBA2"
2017-18,29,GSW,NBA,PG,51,51,1631,12.6,25.5,0.495,6.3,14.8,0.423,6.4,10.7,0.595,0.618,8.2,8.9,0.921,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,125,108,"MVP-10,AS,NBA3"
2018-19,30,GSW,NBA,PG,69,69,2331,12.9,27.3,0.472,7.2,16.5,0.437,5.7,10.8,0.525,0.604,5.4,5.9,0.916,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,120,110,"MVP-5,AS,NBA1"
2019-20,31,GSW,NBA,PG,5,5,139,11.4,28.2,0.402,4.1,16.9,0.245,7.2,11.4,0.636,0.476,9.0,9.0,1.0,1.4,7.6,9.0,11.4,1.7,0.7,5.5,3.8,35.8,109,113,
2020-21,32,GSW,NBA,PG,63,63,2152,14.4,29.8,0.482,7.4,17.5,0.421,7.0,12.3,0.569,0.605,7.9,8.6,0.916,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,44.0,119,111,"MVP-3,AS,NBA1"
2021-22,33,GSW,NBA,PG,64,64,2211,11.8,27.0,0.437,6.3,16.5,0.38,5.5,10.5,0.527,0.554,6.1,6.6,0.923,0.7,6.6,7.4,8.9,1.9,0.5,4.5,2.9,35.9,115,108,"MVP-8,AS,NBA2"
2022-23,34,GSW,NBA,PG,56,56,1941,13.6,27.6,0.493,6.6,15.5,0.427,7.0,12.0,0.579,0.614,6.3,6.8,0.915,0.9,7.3,8.3,8.6,1.3,0.5,4.4,2.8,40.1,123,115,"MVP-9,CPOY-9,AS,NBA2"
2023-24,35,GSW,NBA,PG,74,74,2421,13.0,28.9,0.45,7.1,17.5,0.408,5.9,11.4,0.515,0.573,6.0,6.5,0.923,0.7,5.9,6.6,7.6,1.1,0.6,4.2,2.3,39.1,119,117,"CPOY-1,AS,NBA3"
2024-25,36,GSW,NBA,PG,70,70,2252,12.2,27.2,0.448,6.7,16.9,0.397,5.5,10.2,0.534,0.572,6.0,6.5,0.933,0.9,5.8,6.7,9.1,1.7,0.6,4.3,2.1,37.1,120,113,"MVP-9,CPOY-5,AS,NBA2"
2025-26,37,GSW,NBA,PG,13,13,401,13.8,29.7,0.464,6.9,17.7,0.389,6.9,12.0,0.574,0.58,8.7,9.5,0.913,0.4,5.2,5.6,6.3,2.4,0.6,4.4,3.4,43.2,118,113,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,,1039,1033,35376,12.1,25.6,0.471,5.7,13.4,0.423,6.4,12.2,0.524,0.582,5.7,6.2,0.911,0.9,5.8,6.7,9.1,2.2,0.4,4.4,3.2,35.4,118,109,
