Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2005-06,19,WAS,NBA,PF,29,0,175,10.1,.450,.194,.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,-0.1,0.2,0.1,.026,-4.9,-0.1,-5.0,-0.1,
2006-07,20,WAS,NBA,PF,56,13,682,12.1,.471,.137,.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,-0.1,0.5,0.5,.033,-2.8,-0.7,-3.6,-0.3,
2007-08,21,WAS,NBA,PF,82,15,1675,15.5,.512,.024,.287,11.2,18.8,14.9,9.2,1.7,5.7,15.6,19.7,0.8,2.1,3.0,.085,-2.4,0.7,-1.7,0.1,
2008-09,22,WAS,NBA,C,71,36,1703,15.0,.508,.033,.257,8.5,17.9,13.0,11.8,1.6,3.5,14.3,21.9,0.2,1.2,1.4,.039,-1.8,-0.3,-2.0,0.0,
2009-10,23,WAS,NBA,PF,81,36,2256,17.6,.519,.044,.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,0.8,2.6,3.4,.073,0.2,0.4,0.6,1.5,
2010-11,24,WAS,NBA,PF,64,63,2172,16.9,.497,.019,.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.3,2.1,2.4,.053,-0.3,-0.5,-0.9,0.6,
2011-12,25,WAS,NBA,PF,26,13,626,10.6,.415,.029,.200,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011,-3.4,-1.4,-4.8,-0.4,
2012-13,26,BRK,NBA,C,82,8,1555,21.9,.547,.033,.320,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,2.4,2.5,4.9,.153,1.3,0.9,2.2,1.6,
2013-14,27,BRK,NBA,PF,73,7,1618,18.8,.532,.080,.328,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,1.6,2.1,3.7,.109,0.1,-0.1,0.0,0.8,6MOY-13
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
