"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Kyle Kuzma,,3.8,3.3,3.1,2.0,2.0,0.9,0.2,-0.9
Greg Anderson,85.5,3.4,3.4,3.0,2.3,2.0,1.5,0.4,-0.3
Drew Eubanks,85.5,4.4,3.4,3.1,2.3,1.7,0.8,0.3,
Lew Hitch,85.3,3.6,3.3,2.7,2.2,2.2,1.2,,
Barry Clemens,84.8,3.5,3.5,2.8,1.8,1.7,0.9,0.1,0.1
Keith Erickson,84.1,3.3,2.9,2.8,2.1,1.9,0.5,0.2,-0.2
Nick Weatherspoon,83.8,3.7,3.6,2.6,2.4,2.1,0.6,0.1,
Duane Ferrell,83.5,3.5,3.2,2.8,1.9,1.2,1.0,0.4,-0.1
Glen Gondrezick,83.5,3.6,3.1,3.1,2.7,2.5,0.9,,
Derrick Williams,83.3,3.6,3.0,2.6,2.1,1.8,1.1,0.0,
Craig Smith,82.8,3.9,3.5,3.1,3.0,1.5,1.0,,
