"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Hakim Warrick,,4.7,4.0,3.7,3.4,3.3,0.8,0.5,0.0,,,
Tyler Hansbrough,94.2,4.4,3.9,3.8,3.4,3.0,1.0,0.7,,,,
Jan van Breda Kolff,90.3,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,,
Popeye Jones,89.8,4.3,4.2,3.7,3.6,3.6,1.2,0.6,0.5,0.3,0.0,0.0
Jaxson Hayes,87.7,5.1,3.9,3.7,3.5,2.5,1.5,,,,,
Len Chappell,86.3,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,
Andray Blatche,85.7,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,,
Dave Stallworth,85.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0,,,
Nikola MirotiÄ,85.5,5.7,4.0,3.9,3.8,3.5,,,,,,
DeJuan Blair,84.6,4.8,4.6,4.0,3.4,2.2,0.1,-0.1,,,,
Terry Catledge,84.4,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,,
