"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Courtney Lee,,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7,0.7,0.4,,
Patrick Beverley,92.3,5.3,4.8,4.4,4.2,4.1,3.6,3.5,3.0,2.7,2.2,2.1,0.4,,
T.R. Dunn,90.5,4.9,4.4,4.4,4.1,4.0,3.7,3.3,3.2,2.4,1.6,1.6,1.4,0.6,0.3
Spud Webb,88.8,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3.0,2.3,2.2,1.2,-0.1,,
Chris Ford,87.9,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,,,,
Johnny Davis,86.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,,
Jason Williams,85.7,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2,,
Greg Anthony,85.3,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,
Trent Tucker,85.2,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9,2.8,1.9,1.1,,,
Jarrett Jack,84.4,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0.0,
Sherman Douglas,83.6,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1,,
