Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2009-10,22,POR,NBA,C,39,4,405,12.1,.705,.000,.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,0.8,0.6,1.3,.156,-3.4,0.4,-3.0,-0.1,
2010-11,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2011-12,24,IND,NBA,C,20,1,106,13.4,.435,.000,.194,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,0.1,0.2,0.3,.115,-1.9,-1.0,-2.8,0.0,
2012-13,25,IND,NBA,PF,37,0,369,14.5,.533,.032,.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,0.3,0.7,1.0,.129,-1.9,0.9,-1.0,0.1,
2013-14,26,SAS,NBA,PF,73,10,952,11.1,.605,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1.0,1.4,2.4,.121,-3.0,1.0,-2.1,0.0,
2014-15,27,SAS,NBA,PF,51,0,383,14.4,.618,.000,.379,11.2,23.3,17.3,5.5,1.1,1.6,19.0,16.3,0.6,0.6,1.2,.147,-2.4,0.3,-2.2,0.0,
2015-16,28,LAC,NBA,C,17,0,107,8.3,.585,.043,.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,.077,-5.6,-0.5,-6.1,-0.1,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,237,15,2322,12.4,.591,.010,.283,9.9,21.0,15.5,6.3,0.8,2.1,18.4,14.1,2.8,3.6,6.3,.131,-2.9,0.6,-2.3,-0.2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,5,803,12.4,.591,.010,.283,9.9,21.0,15.5,6.3,0.8,2.1,18.4,14.1,1.0,1.2,2.2,.131,-2.9,0.6,-2.3,-0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,124,10,1335,12.1,.610,.000,.338,11.0,20.4,15.9,7.7,0.8,1.8,22.4,13.5,1.6,2.0,3.6,.129,-2.9,0.8,-2.1,0.0,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,57,1,475,14.3,.511,.025,.185,9.8,22.2,16.1,7.0,1.0,2.2,12.5,19.2,0.4,0.9,1.2,.126,-1.9,0.5,-1.4,0.1,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,39,4,405,12.1,.705,.000,.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,0.8,0.6,1.3,.156,-3.4,0.4,-3.0,-0.1,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,17,0,107,8.3,.585,.043,.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,.077,-5.6,-0.5,-6.1,-0.1,
