Season,Team,Lg,Salary
2000-01,Chicago Bulls,NBA,"$1,762,320"
2001-02,Chicago Bulls,NBA,"$1,894,560"
2002-03,Chicago Bulls,NBA,"$2,026,680"
2003-04,Chicago Bulls,NBA,"$2,577,937"
2004-05,New York Knicks,NBA,"$5,760,000"
2005-06,New York Knicks,NBA,"$6,480,000"
2006-07,New York Knicks,NBA,"$7,200,000"
2007-08,New York Knicks,NBA,"$7,920,000"
2008-09,Golden State Warriors,NBA,"$8,640,000"
2009-10,Atlanta Hawks,NBA,"$9,360,000"
2010-11,Atlanta Hawks,NBA,"$10,800,000"
2011-12,Portland Trail Blazers,NBA,"$5,000,000"
2012-13,Los Angeles Clippers,NBA,"$5,000,000"
2013-14,Los Angeles Clippers,NBA,"$5,225,000"
2014-15,Los Angeles Clippers,NBA,"$5,450,000"
2015-16,Los Angeles Clippers,NBA,"$5,675,000"
2016-17,Los Angeles Clippers,NBA,"$13,253,012"
2017-18,Atlanta Hawks,NBA,"$10,942,762"
2017-18,Minnesota Timberwolves,NBA,"$4,328,000"
2018-19,Phoenix Suns,NBA,"$2,393,887"
2018-19,Atlanta Hawks,NBA,"$2,304,226"
2019-20,Brooklyn Nets,NBA,"$289,803"
Career,(may be incomplete),,"$124,283,187"
