"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Wes Iwundu,,1.9,1.7,0.7,0.1,0.0,
Andrew Nicholson,90.0,1.7,1.6,0.6,0.1,-0.1,
Jan VeselÃ½,89.9,1.7,1.6,0.7,,,
Donnell Harvey,89.4,2.0,1.8,0.7,0.2,0.1,
Sam Pellom,86.9,2.2,1.8,0.7,0.0,,
Lamar Stevens,85.6,1.9,1.6,0.8,0.4,0.2,
Charles Pittman,85.2,1.7,1.5,0.9,0.1,,
Ben Coleman,84.2,2.0,1.8,0.8,0.5,0.0,
Jon Brockman,83.7,1.9,1.7,0.1,,,
Yuta Watanabe,82.8,2.1,1.5,0.7,0.1,-0.1,-0.2
Bol Bol,82.0,2.3,1.6,0.9,0.1,0.1,0.0
