Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,23,2TM,NBA,PF,29.0,0.0,8.1,1.1,2.3,0.463,0.1,0.4,0.273,1.0,1.9,0.5,0.485,0.9,1.1,0.758,0.6,1.1,1.7,0.3,0.3,0.2,0.4,1.4,3.1,
2014-15,23,BOS,NBA,PF,5.0,0.0,1.8,0.8,1.0,0.8,0.0,0.0,,0.8,1.0,0.8,0.8,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,1.8,
2014-15,23,DAL,NBA,PF,24.0,0.0,9.5,1.1,2.6,0.435,0.1,0.5,0.273,1.0,2.1,0.471,0.46,1.0,1.3,0.774,0.8,1.3,2.0,0.4,0.3,0.3,0.4,1.6,3.4,
2015-16,24,DAL,NBA,PF,69.0,2.0,14.4,2.1,4.3,0.493,0.0,0.2,0.125,2.1,4.1,0.514,0.497,1.5,2.1,0.739,1.2,2.7,4.0,0.6,0.5,0.3,0.6,1.7,5.8,
2016-17,25,DAL,NBA,C,77.0,3.0,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.571,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,
2017-18,26,DAL,NBA,C,79.0,24.0,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,1.7,2.3,0.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,
2018-19,27,DAL,NBA,C,77.0,22.0,21.6,3.8,6.3,0.597,0.5,1.6,0.307,3.3,4.7,0.699,0.637,2.5,3.3,0.772,1.8,3.5,5.3,1.5,0.6,0.6,0.9,2.6,10.6,
2019-20,28,DAL,NBA,C,40.0,37.0,26.5,3.7,5.7,0.638,0.3,1.0,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4,
2020-21,29,DAL,NBA,C,58.0,19.0,16.7,2.1,3.3,0.619,0.1,0.4,0.238,2.0,3.0,0.665,0.631,1.7,2.1,0.782,1.4,2.7,4.0,1.1,0.6,0.5,0.7,2.3,5.9,
2021-22,30,DAL,NBA,C,82.0,71.0,21.9,3.3,4.9,0.671,0.2,0.5,0.351,3.1,4.4,0.703,0.687,2.0,2.6,0.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,
2022-23,31,DAL,NBA,C,76.0,64.0,19.2,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,
2023-24,32,DAL,NBA,C,63.0,9.0,13.3,1.1,1.7,0.679,0.0,0.0,0.333,1.1,1.6,0.689,0.684,1.0,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3,
2024-25,33,DAL,NBA,C,55.0,3.0,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.7,1.0,0.714,0.705,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,2.1,
2025-26,34,DAL,NBA,C,12.0,0.0,9.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,1.3,1.5,0.833,1.0,1.2,2.2,0.7,0.3,0.2,0.4,2.1,2.3,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,717.0,254.0,17.7,2.5,4.1,0.604,0.2,0.6,0.294,2.3,3.5,0.656,0.625,1.6,2.1,0.738,1.5,2.7,4.2,1.0,0.6,0.4,0.7,2.2,6.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (12 Yrs),DAL (12 Yrs),DAL (12 Yrs),DAL (12 Yrs),,712.0,254.0,17.8,2.5,4.1,0.603,0.2,0.6,0.294,2.3,3.5,0.656,0.625,1.6,2.1,0.738,1.5,2.7,4.2,1.0,0.6,0.4,0.7,2.2,6.7,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,5.0,0.0,1.8,0.8,1.0,0.8,0.0,0.0,,0.8,1.0,0.8,0.8,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,1.8,
