Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2008-09,20,MIA,NBA,PF,7.0,0.0,178.0,6.9,17.8,0.386,0.8,2.6,0.308,6.1,15.2,0.4,0.409,2.6,3.4,0.765,2.0,8.3,10.3,1.4,0.4,1.4,2.2,2.8,17.2,
2009-10,21,MIA,NBA,PF,5.0,5.0,135.0,5.9,13.1,0.449,0.3,0.5,0.5,5.6,12.5,0.447,0.459,1.9,2.4,0.778,2.7,5.1,7.7,0.8,1.1,0.0,3.5,2.7,13.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,MIA,NBA,SF,4.0,0.0,23.0,7.8,15.7,0.5,0.0,0.0,,7.8,15.7,0.5,0.5,1.6,4.7,0.333,3.1,3.1,6.3,3.1,0.0,0.0,1.6,4.7,17.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,27,HOU,NBA,PF,5.0,0.0,80.0,9.9,20.7,0.478,0.9,2.7,0.333,9.0,18.0,0.5,0.5,2.7,3.2,0.857,1.8,7.7,9.5,1.4,0.5,0.0,3.2,3.6,23.4,
2016-17,28,MIL,NBA,PF,4.0,0.0,48.0,5.2,15.0,0.35,2.3,3.7,0.6,3.0,11.3,0.267,0.425,0.0,3.0,0.0,1.5,5.3,6.8,0.7,0.7,0.7,1.5,6.0,12.7,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,5.0,464.0,7.0,16.5,0.423,0.8,2.0,0.385,6.2,14.5,0.428,0.446,2.1,3.1,0.675,2.2,6.7,8.8,1.2,0.6,0.6,2.6,3.3,16.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,16.0,5.0,336.0,6.5,15.8,0.415,0.5,1.6,0.333,6.0,14.1,0.424,0.432,2.3,3.1,0.724,2.4,6.6,9.0,1.3,0.6,0.7,2.7,2.9,15.9,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,5.0,0.0,80.0,9.9,20.7,0.478,0.9,2.7,0.333,9.0,18.0,0.5,0.5,2.7,3.2,0.857,1.8,7.7,9.5,1.4,0.5,0.0,3.2,3.6,23.4,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,4.0,0.0,48.0,5.2,15.0,0.35,2.3,3.7,0.6,3.0,11.3,0.267,0.425,0.0,3.0,0.0,1.5,5.3,6.8,0.7,0.7,0.7,1.5,6.0,12.7,
