Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,22,2TM,NBA,SG,42,18,24.5,4.6,11.9,.384,0.8,3.0,.258,3.8,8.9,.427,.417,1.7,2.0,.869,0.7,1.8,2.5,2.8,0.9,0.1,2.0,1.5,11.7,
2010-11,22,ATL,NBA,SG,16,0,10.0,1.7,4.8,.351,0.6,1.7,.333,1.1,3.1,.360,.409,0.3,0.4,.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2,
2010-11,22,WAS,NBA,SG,26,18,33.3,6.3,16.3,.390,0.9,3.9,.238,5.4,12.4,.438,.418,2.7,3.0,.885,0.8,2.1,3.0,3.9,1.4,0.1,2.6,1.9,16.3,
2011-12,23,WAS,NBA,SG,64,32,27.4,5.5,13.6,.400,1.2,4.3,.289,4.2,9.4,.451,.446,2.5,3.2,.793,0.7,1.9,2.6,3.0,0.9,0.1,2.2,1.7,14.7,
2012-13,24,2TM,NBA,SG,70,14,24.4,4.3,10.4,.415,1.2,3.5,.337,3.1,6.8,.455,.472,1.8,2.3,.811,0.6,2.4,3.0,3.2,0.6,0.1,2.0,1.5,11.6,6MOY-7
2012-13,24,WAS,NBA,SG,43,12,26.2,4.9,11.8,.415,1.4,4.0,.345,3.5,7.8,.451,.473,2.0,2.5,.821,0.7,2.4,3.1,3.7,0.6,0.1,2.3,1.4,13.2,
2012-13,24,BOS,NBA,SG,27,2,21.6,3.3,8.0,.415,0.9,2.8,.320,2.4,5.3,.465,.470,1.6,2.0,.792,0.5,2.3,2.7,2.5,0.4,0.1,1.6,1.7,9.1,
2013-14,25,2TM,NBA,PG,81,35,23.0,4.0,9.7,.415,1.1,3.5,.316,2.9,6.2,.471,.472,1.8,2.1,.864,0.3,1.9,2.3,3.5,0.6,0.1,1.7,1.5,11.0,
2013-14,25,BOS,NBA,PG,39,35,30.7,4.8,11.7,.413,1.3,4.0,.318,3.5,7.6,.463,.468,2.8,3.2,.873,0.5,2.6,3.1,5.7,0.9,0.1,2.2,1.9,13.7,
2013-14,25,GSW,NBA,SG,42,0,15.7,3.3,7.9,.417,1.0,3.0,.313,2.4,4.9,.483,.477,0.9,1.0,.837,0.2,1.3,1.5,1.4,0.3,0.0,1.2,1.0,8.4,
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2016-17,28,NOP,NBA,SG,19,0,23.3,5.5,11.5,.482,1.9,5.0,.389,3.6,6.5,.553,.567,1.1,1.4,.769,0.2,1.6,1.8,3.0,0.6,0.1,1.3,1.6,14.1,
2017-18,29,NOP,NBA,SG,5,0,10.6,2.4,5.4,.444,1.6,2.8,.571,0.8,2.6,.308,.593,0.2,0.2,1.000,0.4,0.4,0.8,2.6,0.2,0.2,1.0,1.4,6.6,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,281,99,24.4,4.6,11.1,.411,1.2,3.7,.317,3.4,7.4,.458,.464,1.9,2.3,.826,0.5,2.0,2.5,3.1,0.7,0.1,1.9,1.6,12.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,133,62,28.2,5.5,13.6,.402,1.2,4.1,.297,4.2,9.5,.448,.447,2.4,2.9,.819,0.7,2.1,2.9,3.4,0.9,0.1,2.3,1.7,14.5,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,66,37,27.0,4.2,10.2,.414,1.1,3.5,.319,3.1,6.7,.464,.469,2.3,2.7,.849,0.5,2.5,2.9,4.4,0.7,0.1,1.9,1.8,11.8,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,24,0,20.6,4.9,10.2,.478,1.9,4.5,.413,3.0,5.7,.529,.569,0.9,1.1,.778,0.3,1.3,1.6,2.9,0.5,0.1,1.3,1.5,12.5,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,42,0,15.7,3.3,7.9,.417,1.0,3.0,.313,2.4,4.9,.483,.477,0.9,1.0,.837,0.2,1.3,1.5,1.4,0.3,0.0,1.2,1.0,8.4,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,16,0,10.0,1.7,4.8,.351,0.6,1.7,.333,1.1,3.1,.360,.409,0.3,0.4,.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2,
