Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,21,MIL,NBA,PF,34.0,15.0,10.8,1.3,3.5,0.367,0.0,0.0,,1.3,3.5,0.367,0.367,0.4,0.8,0.444,0.8,1.1,1.9,0.5,0.1,0.1,0.7,1.3,2.9,
2015-16,22,MIL,NBA,PF,66.0,4.0,13.0,1.3,3.2,0.411,0.0,0.0,1.0,1.3,3.2,0.409,0.414,0.4,0.6,0.675,1.0,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3.0,
2016-17,23,2TM,NBA,PF,11.0,0.0,7.3,1.4,2.7,0.5,0.3,0.5,0.5,1.1,2.2,0.5,0.55,0.5,0.5,0.833,0.8,0.9,1.7,0.5,0.0,0.1,0.5,0.9,3.5,
2016-17,23,DEN,NBA,PF,7.0,0.0,6.6,1.0,2.1,0.467,0.3,0.4,0.667,0.7,1.7,0.417,0.533,0.6,0.6,1.0,0.7,0.9,1.6,0.3,0.0,0.1,0.4,0.6,2.9,
2016-17,23,CHO,NBA,PF,4.0,0.0,8.5,2.0,3.8,0.533,0.3,0.8,0.333,1.8,3.0,0.583,0.567,0.3,0.5,0.5,1.0,1.0,2.0,1.0,0.0,0.0,0.8,1.5,4.5,
2017-18,24,CHO,NBA,PF,36.0,0.0,10.5,1.9,4.8,0.398,0.4,1.2,0.326,1.5,3.6,0.422,0.439,0.6,0.7,0.84,0.8,1.8,2.6,0.4,0.3,0.2,0.4,1.3,4.8,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,147.0,19.0,11.5,1.4,3.6,0.402,0.1,0.3,0.36,1.3,3.3,0.406,0.419,0.4,0.7,0.663,0.9,1.5,2.4,0.5,0.2,0.1,0.5,1.4,3.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,100.0,19.0,12.3,1.3,3.3,0.395,0.0,0.0,1.0,1.3,3.3,0.393,0.397,0.4,0.7,0.582,0.9,1.5,2.4,0.5,0.2,0.1,0.6,1.4,3.0,
CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),CHO (2 Yrs),,40.0,0.0,10.3,1.9,4.7,0.409,0.4,1.2,0.326,1.5,3.5,0.436,0.449,0.6,0.7,0.815,0.8,1.7,2.5,0.5,0.2,0.2,0.5,1.3,4.7,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,7.0,0.0,6.6,1.0,2.1,0.467,0.3,0.4,0.667,0.7,1.7,0.417,0.533,0.6,0.6,1.0,0.7,0.9,1.6,0.3,0.0,0.1,0.4,0.6,2.9,
