Season,Team,Lg,Salary
2008-09,Phoenix Suns,NBA,"$1,623,720"
2009-10,Phoenix Suns,NBA,"$1,745,520"
2010-11,Phoenix Suns,NBA,"$1,867,320"
2011-12,Phoenix Suns,NBA,"$2,862,602"
2012-13,New Orleans Hornets,NBA,"$4,899,293"
2013-14,Portland Trail Blazers,NBA,"$5,904,261"
2014-15,Portland Trail Blazers,NBA,"$6,124,728"
2015-16,New York Knicks,NBA,"$13,000,000"
2016-17,Chicago Bulls,NBA,"$13,219,250"
2017-18,Chicago Bulls,NBA,"$13,788,500"
2018-19,Chicago Bulls,NBA,"$14,357,750"
2019-20,Milwaukee Bucks,NBA,"$4,767,000"
2020-21,Washington Wizards,NBA,"$7,300,000"
2021-22,Orlando Magic,NBA,"$5,000,000"
2022-23,Cleveland Cavaliers,NBA,"$1,836,090"
2023-24,Sacramento Kings,NBA,"$2,019,706"
Career,(may be incomplete),,"$100,315,740"
