Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2000-01,21,CLE,NBA,C,59,43,1166,173,391,.442,0,1,.000,173,390,.444,.442,100,126,.794,106,174,280,16,20,53,80,156,446,0,
2001-02,22,CLE,NBA,C,74,60,1659,221,526,.420,3,7,.429,218,519,.420,.423,124,179,.693,133,259,392,24,18,89,97,260,569,0,
2002-03,23,CLE,NBA,C,52,0,809,116,287,.404,0,3,.000,116,284,.408,.404,76,105,.724,93,138,231,28,18,38,48,124,308,0,
2003-04,24,2TM,NBA,C,76,17,1330,186,381,.488,0,0,,186,381,.488,.488,110,166,.663,156,257,413,21,37,63,90,208,482,0,
2003-04,24,CLE,NBA,PF,22,1,391,59,127,.465,0,0,,59,127,.465,.465,34,48,.708,47,93,140,10,9,22,25,58,152,0,
2003-04,24,BOS,NBA,C,54,16,939,127,254,.500,0,0,,127,254,.500,.500,76,118,.644,109,164,273,11,28,41,65,150,330,0,
2004-05,25,LAL,NBA,C,75,75,1870,280,552,.507,0,2,.000,280,550,.509,.507,175,258,.678,197,305,502,50,14,108,110,237,735,0,
2005-06,26,LAL,NBA,C,59,56,1541,230,459,.501,0,0,,230,459,.501,.501,144,201,.716,137,236,373,61,16,73,83,214,604,0,
2006-07,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2007-08,28,LAL,NBA,C,23,5,278,32,95,.337,0,0,,32,95,.337,.337,18,27,.667,28,49,77,13,4,14,17,42,82,0,
2008-09,29,LAL,NBA,C,18,0,105,15,40,.375,0,0,,15,40,.375,.375,6,7,.857,15,19,34,10,1,6,10,23,36,0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,436,256,8758,1253,2731,.459,3,13,.231,1250,2718,.460,.459,753,1069,.704,865,1437,2302,223,128,444,535,1264,3262,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,48,1647,236,514,.459,1,2,.231,235,511,.460,.459,142,201,.704,163,270,433,42,24,84,101,238,613,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),,207,104,4025,569,1331,.427,3,11,.273,566,1320,.429,.429,334,458,.729,379,664,1043,78,65,202,250,598,1475,0,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,175,136,3794,557,1146,.486,0,2,.000,557,1144,.487,.486,343,493,.696,377,609,986,134,35,201,220,516,1457,0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,54,16,939,127,254,.500,0,0,,127,254,.500,.500,76,118,.644,109,164,273,11,28,41,65,150,330,0,
