"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2015-16,20,UTA,NBA,PF,80.0,33.0,1382.0,0.438,12.8,0.706,0.236,0.181,0.126,0.165,0.294,0.461,0.573,0.392,0.418,0.403,0.383,0.585,0.959,0.039,15.0,0.547,0.443,1.0,0.0,
2016-17,21,UTA,NBA,PF,71.0,4.0,1158.0,0.362,15.6,0.535,0.182,0.18,0.08,0.093,0.465,0.4,0.538,0.329,0.286,0.366,0.319,0.404,0.954,0.021,9.0,0.299,0.361,1.0,0.0,
2017-18,22,DEN,NBA,PF,73.0,2.0,1391.0,0.491,12.9,0.604,0.3,0.185,0.078,0.04,0.396,0.563,0.697,0.392,0.535,0.409,0.381,0.642,0.988,0.08,40.0,0.188,0.366,3.0,0.0,
2018-19,23,DEN,NBA,PF,64.0,2.0,1120.0,0.418,13.8,0.596,0.263,0.202,0.089,0.042,0.404,0.529,0.731,0.35,0.341,0.524,0.255,0.622,0.941,0.055,25.0,0.16,0.406,2.0,0.0,
2019-20,24,SAS,NBA,PF,63.0,53.0,1271.0,0.446,15.4,0.51,0.265,0.108,0.07,0.067,0.49,0.503,0.637,0.27,0.542,0.304,0.387,0.75,1.0,0.061,19.0,0.274,0.457,0.0,0.0,
2020-21,25,SAS,NBA,PF,23.0,9.0,358.0,0.478,14.5,0.556,0.311,0.1,0.111,0.033,0.444,0.58,0.75,0.556,0.3,0.0,0.35,0.69,1.0,0.022,2.0,0.175,0.714,0.0,0.0,
2021-22,26,2TM,NBA,PF,75.0,23.0,1537.0,0.466,12.5,0.628,0.292,0.224,0.077,0.036,0.372,0.552,0.671,0.516,0.279,0.4,0.321,0.6,1.0,0.046,23.0,0.239,0.38,1.0,0.0,
2021-22,26,DET,NBA,PF,51.0,3.0,990.0,0.456,13.2,0.62,0.284,0.216,0.073,0.047,0.38,0.55,0.651,0.53,0.321,0.389,0.301,0.588,1.0,0.039,14.0,0.205,0.333,1.0,0.0,
2021-22,26,SAC,NBA,PF,24.0,20.0,547.0,0.489,11.8,0.646,0.309,0.242,0.084,0.011,0.354,0.557,0.709,0.488,0.2,0.5,0.365,0.625,1.0,0.062,9.0,0.317,0.45,0.0,0.0,
2022-23,27,SAC,NBA,PF,74.0,0.0,1247.0,0.458,15.5,0.412,0.27,0.12,0.007,0.002,0.588,0.595,0.682,0.388,0.333,0.0,0.363,0.65,0.977,0.083,28.0,0.346,0.446,0.0,0.0,
