Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,22,DEN,NBA,PG,65,8,1318,5.5,10.7,.515,0.9,2.3,.410,4.6,8.4,.544,.559,2.9,3.8,.757,1.1,2.2,3.4,5.5,1.3,0.1,2.2,2.4,14.8,
2010-11,23,DEN,NBA,PG,80,31,2103,5.9,11.8,.503,1.2,2.9,.404,4.7,8.9,.536,.553,2.9,3.9,.764,1.1,2.4,3.6,6.5,1.4,0.1,2.3,2.3,16.0,6MOY-11
2011-12,24,DEN,NBA,PG,61,61,2124,6.3,13.0,.488,1.2,3.4,.365,5.1,9.6,.531,.535,3.0,3.7,.824,0.9,2.9,3.8,6.8,1.4,0.1,2.5,1.6,16.9,
2012-13,25,DEN,NBA,PG,73,71,2513,6.4,13.9,.461,1.2,3.3,.366,5.2,10.6,.491,.505,3.4,4.5,.756,0.5,2.3,2.8,7.2,1.5,0.1,2.6,1.9,17.4,MVP-12
2013-14,26,DEN,NBA,PG,62,61,2222,5.6,13.1,.431,1.2,3.3,.356,4.5,9.8,.455,.475,5.2,6.6,.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7,
2014-15,27,DEN,NBA,PG,75,75,2665,5.5,12.5,.436,0.9,2.8,.341,4.5,9.7,.463,.474,3.6,4.9,.730,0.6,2.6,3.2,9.7,1.2,0.1,2.5,1.7,15.4,
2015-16,28,2TM,NBA,PG,66,13,1411,3.5,9.0,.393,0.9,2.8,.333,2.6,6.3,.419,.444,1.5,2.2,.686,0.7,2.4,3.1,6.0,1.4,0.2,2.4,2.2,9.5,
2015-16,28,HOU,NBA,PG,53,12,1176,3.4,8.8,.387,0.9,2.9,.330,2.4,5.9,.415,.441,1.7,2.4,.700,0.6,2.1,2.7,5.5,1.3,0.2,2.5,2.2,9.5,
2015-16,28,IND,NBA,PG,13,1,235,4.3,10.3,.418,0.8,2.1,.357,3.5,8.1,.434,.455,0.5,0.9,.500,0.9,3.8,4.7,8.7,1.5,0.2,2.0,2.5,9.8,
2016-17,29,SAC,NBA,PG,69,24,1732,4.9,10.8,.454,0.7,2.5,.288,4.2,8.4,.502,.487,3.6,4.5,.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,551,344,16088,5.6,12.1,.460,1.1,3.0,.359,4.5,9.2,.493,.504,3.4,4.4,.770,0.8,2.6,3.4,7.4,1.4,0.1,2.6,2.0,15.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),,416,307,12945,5.9,12.6,.466,1.1,3.0,.369,4.8,9.6,.497,.510,3.6,4.6,.771,0.8,2.6,3.4,7.6,1.4,0.1,2.6,1.9,16.5,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,69,24,1732,4.9,10.8,.454,0.7,2.5,.288,4.2,8.4,.502,.487,3.6,4.5,.797,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,53,12,1176,3.4,8.8,.387,0.9,2.9,.330,2.4,5.9,.415,.441,1.7,2.4,.700,0.6,2.1,2.7,5.5,1.3,0.2,2.5,2.2,9.5,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,13,1,235,4.3,10.3,.418,0.8,2.1,.357,3.5,8.1,.434,.455,0.5,0.9,.500,0.9,3.8,4.7,8.7,1.5,0.2,2.0,2.5,9.8,
