Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2009-10,22,DEN,NBA,PG,65,8,1318,16.4,.600,.213,.359,3.7,7.1,5.4,24.2,1.8,0.1,15.4,18.0,2.9,0.9,3.7,.135,1.5,-0.4,1.1,1.0,
2010-11,23,DEN,NBA,PG,80,31,2103,17.9,.593,.249,.327,3.8,7.6,5.7,28.3,1.9,0.1,14.8,19.6,5.1,1.6,6.7,.153,2.4,-0.3,2.1,2.2,6MOY-11
2011-12,24,DEN,NBA,PG,61,61,2124,19.4,.579,.261,.282,3.1,9.2,6.2,30.2,2.0,0.2,14.7,21.2,5.7,1.2,6.9,.157,3.6,-0.4,3.2,2.8,
2012-13,25,DEN,NBA,PG,73,71,2513,17.9,.549,.239,.320,1.6,7.1,4.4,30.2,2.1,0.2,14.1,22.3,5.6,1.8,7.4,.141,2.5,-0.5,2.0,2.5,MVP-12
2013-14,26,DEN,NBA,PG,62,61,2222,19.0,.554,.251,.504,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,4.8,1.5,6.3,.136,2.9,-0.5,2.3,2.5,
2014-15,27,DEN,NBA,PG,75,75,2665,18.5,.526,.221,.392,1.6,8.1,4.7,43.0,1.7,0.3,14.6,20.6,6.0,1.0,7.0,.126,3.0,-0.9,2.2,2.8,
2015-16,28,2TM,NBA,PG,66,13,1411,9.7,.476,.305,.243,2.0,7.4,4.7,24.6,1.9,0.4,19.5,14.9,0.2,0.7,0.9,.032,-2.4,-1.2,-3.6,-0.6,
2015-16,28,HOU,NBA,PG,53,12,1176,8.9,.480,.328,.279,1.9,6.5,4.2,22.3,1.8,0.4,20.3,14.8,0.0,0.4,0.4,.017,-2.6,-1.5,-4.1,-0.6,
2015-16,28,IND,NBA,PG,13,1,235,13.7,.460,.209,.090,2.8,11.6,7.2,36.1,2.1,0.3,15.7,15.5,0.2,0.3,0.5,.103,-1.3,0.2,-1.2,0.0,
2016-17,29,SAC,NBA,PG,69,24,1732,15.4,.551,.226,.416,3.0,8.9,6.0,29.9,2.2,0.3,17.3,19.5,2.2,1.0,3.2,.088,-0.2,-0.8,-1.0,0.4,
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,551,344,16088,17.2,.555,.243,.362,2.5,8.0,5.3,32.2,2.0,0.3,15.6,20.3,32.6,9.5,42.1,.126,2.0,-0.6,1.4,13.6,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,51,2394,17.2,.555,.243,.362,2.5,8.0,5.3,32.2,2.0,0.3,15.6,20.3,4.9,1.4,6.3,.126,2.0,-0.6,1.4,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),,416,307,12945,18.3,.561,.240,.365,2.5,8.0,5.2,33.3,2.0,0.2,15.0,20.9,30.2,7.9,38.0,.141,2.7,-0.5,2.2,13.7,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,69,24,1732,15.4,.551,.226,.416,3.0,8.9,6.0,29.9,2.2,0.3,17.3,19.5,2.2,1.0,3.2,.088,-0.2,-0.8,-1.0,0.4,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,53,12,1176,8.9,.480,.328,.279,1.9,6.5,4.2,22.3,1.8,0.4,20.3,14.8,0.0,0.4,0.4,.017,-2.6,-1.5,-4.1,-0.6,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,13,1,235,13.7,.460,.209,.090,2.8,11.6,7.2,36.1,2.1,0.3,15.7,15.5,0.2,0.3,0.5,.103,-1.3,0.2,-1.2,0.0,
