Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2003-04,20,MIL,NBA,PG,55,55,1472,12.1,.443,.053,.246,2.9,10.8,6.8,37.4,2.1,0.1,24.0,17.9,-0.2,0.9,0.7,.022,-1.7,-0.6,-2.4,-0.1,
2004-05,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2005-06,22,MIL,NBA,PG,72,70,2557,13.1,.489,.132,.314,2.9,11.7,7.2,29.8,2.1,0.2,19.6,20.0,0.4,2.1,2.5,.047,-1.1,-0.1,-1.2,0.5,
2006-07,23,TOR,NBA,PG,75,71,2243,18.2,.508,.076,.325,2.7,9.7,6.2,44.8,2.3,0.3,18.3,26.1,2.0,2.3,4.3,.091,1.4,-0.5,0.9,1.6,
2007-08,24,TOR,NBA,PG,51,26,1199,20.3,.533,.097,.239,2.3,7.7,4.9,44.4,2.4,0.0,15.0,26.8,2.1,1.1,3.3,.130,2.8,-0.3,2.5,1.4,
2008-09,25,IND,NBA,PG,74,49,2258,16.6,.533,.114,.308,2.9,9.8,6.3,27.6,2.0,0.5,14.8,23.5,2.6,1.7,4.3,.092,0.5,-0.3,0.3,1.3,
2009-10,26,IND,NBA,PG,47,32,1189,13.4,.507,.120,.323,3.7,10.0,6.8,24.8,1.8,0.7,15.9,21.0,0.3,1.1,1.4,.058,-1.4,0.0,-1.4,0.2,
2010-11,27,IND,NBA,PG,41,3,773,9.9,.434,.136,.203,2.5,9.1,5.8,28.4,2.3,0.8,19.7,18.3,-0.7,0.8,0.2,.011,-3.3,0.4,-2.9,-0.2,
2011-12,28,SAS,NBA,PG,14,0,191,11.0,.519,.186,.326,1.8,8.8,5.4,32.7,2.4,0.8,31.9,17.2,0.0,0.2,0.2,.053,-2.8,0.7,-2.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,429,306,11882,15.1,.503,.104,.294,2.8,10.1,6.4,34.1,2.2,0.3,18.0,22.2,6.4,10.4,16.9,.068,-0.2,-0.2,-0.4,4.6,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,58,2271,15.1,.503,.104,.294,2.8,10.1,6.4,34.1,2.2,0.3,18.0,22.2,1.2,2.0,3.2,.068,-0.2,-0.2,-0.4,0.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,162,84,4220,14.5,.512,.119,.296,3.0,9.7,6.4,27.0,2.0,0.6,15.8,21.8,2.2,3.7,6.0,.068,-0.7,-0.1,-0.8,1.3,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,127,125,4029,12.7,.474,.105,.291,2.9,11.4,7.1,32.6,2.1,0.2,21.1,19.2,0.1,3.1,3.2,.038,-1.3,-0.3,-1.6,0.3,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,126,97,3442,19.0,.517,.084,.293,2.6,9.0,5.7,44.6,2.4,0.2,17.1,26.3,4.1,3.4,7.5,.105,1.9,-0.4,1.5,3.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,14,0,191,11.0,.519,.186,.326,1.8,8.8,5.4,32.7,2.4,0.8,31.9,17.2,0.0,0.2,0.2,.053,-2.8,0.7,-2.0,0.0,
