"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Chris Douglas-Roberts,,2.4,1.6,0.7,0.6,0.1,0.0,
Travis Diener,91.7,2.5,1.9,0.7,0.6,0.0,,
Bo Lamar,87.8,2.5,1.5,1.0,0.5,,,
Maurice McHartley,83.2,2.4,1.8,0.8,,,,
Jeff Judkins,82.9,3.0,1.8,0.7,0.6,0.2,,
Mike Davis,82.8,2.2,1.2,0.9,0.6,,,
Robert Smith,80.8,2.9,1.4,0.8,0.6,0.0,0.0,0.0
Michael Holton,79.2,2.3,1.3,0.8,0.3,0.2,-0.2,
Hollis Thompson,79.2,2.6,2.0,1.2,0.7,,,
Bones Hyland,78.8,2.4,1.4,0.5,0.0,,,
Cam Thomas,78.8,2.5,1.2,1.0,0.8,,,
