"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jonas ValanÄiÅ«nas,,8.2,7.9,7.8,7.6,7.3,7.1,7.0,6.9,6.7,5.8,4.3,4.2,3.9
Vlade Divac,91.8,9.5,8.3,7.4,7.4,7.3,7.3,7.2,6.1,5.9,5.6,5.2,5.0,1.8
Alvan Adams,88.7,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2
Al Jefferson,84.1,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,2.3
Brook Lopez,84.1,9.0,7.9,7.0,6.7,6.3,6.2,5.8,5.5,5.3,4.9,3.8,2.3,0.3
Nate Thurmond,83.4,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4
Marc Gasol,82.3,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8
Al Horford,82.1,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,5.4,2.8,1.3
Nikola VuÄeviÄ,80.9,10.1,8.3,7.0,6.4,6.3,5.7,5.4,5.2,4.5,4.4,4.0,3.6,1.8
Billy Paultz,77.9,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7,0.3,0.1
Andre Drummond,77.2,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2
