Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,23,MIN,NBA,SG,79.0,63.0,26.2,3.4,8.6,0.397,1.3,3.7,0.356,2.1,5.0,0.427,0.473,0.8,1.2,0.696,0.6,2.4,3.0,1.9,0.7,0.7,1.2,2.1,9.0,
2011-12,24,MIN,NBA,SF,65.0,64.0,22.6,2.4,6.1,0.398,0.8,2.6,0.314,1.6,3.5,0.461,0.465,0.4,0.5,0.706,0.4,2.4,2.7,0.9,0.5,0.7,0.9,1.8,6.0,
2012-13,25,PHO,NBA,SF,50.0,21.0,19.1,3.2,7.9,0.407,1.0,3.1,0.323,2.2,4.8,0.461,0.47,0.5,0.7,0.771,0.4,2.0,2.5,0.7,0.4,0.4,1.0,1.1,8.0,
2013-14,26,LAL,NBA,SF,79.0,62.0,28.4,3.5,8.2,0.425,1.3,3.4,0.369,2.2,4.8,0.466,0.502,0.8,1.0,0.792,0.9,3.5,4.4,1.6,1.1,1.0,1.1,2.6,9.1,
2014-15,27,LAL,NBA,SF,76.0,59.0,29.5,3.8,9.1,0.414,1.2,3.4,0.351,2.6,5.7,0.451,0.48,1.2,1.5,0.804,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9,
2015-16,28,LAC,NBA,SF,80.0,9.0,20.8,2.6,6.4,0.404,1.3,3.9,0.333,1.3,2.6,0.51,0.504,0.4,0.6,0.652,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,6.9,
2016-17,29,LAC,NBA,SF,68.0,3.0,11.9,1.1,2.9,0.365,0.4,1.7,0.246,0.6,1.2,0.537,0.438,0.2,0.3,0.647,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,
2017-18,30,LAC,NBA,SF,74.0,40.0,20.1,2.0,5.0,0.408,0.8,2.4,0.339,1.2,2.6,0.471,0.489,0.6,0.8,0.741,0.4,2.5,2.9,0.8,1.0,0.8,0.7,2.0,5.4,
2018-19,31,2TM,NBA,SF,38.0,13.0,14.1,1.2,3.4,0.352,0.7,2.0,0.329,0.5,1.4,0.385,0.449,0.3,0.5,0.684,0.3,1.6,1.9,0.6,0.4,0.3,0.5,1.7,3.4,
2018-19,31,NOP,NBA,SF,26.0,13.0,14.5,1.3,3.4,0.398,0.7,1.9,0.38,0.6,1.5,0.421,0.506,0.2,0.3,0.667,0.4,1.7,2.1,0.6,0.5,0.3,0.5,1.7,3.7,
2018-19,31,WAS,NBA,SF,12.0,0.0,13.1,0.8,3.3,0.25,0.5,2.2,0.231,0.3,1.2,0.286,0.325,0.6,0.8,0.7,0.2,1.3,1.5,0.6,0.2,0.4,0.5,1.5,2.8,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,609.0,334.0,22.1,2.7,6.6,0.404,1.0,3.0,0.337,1.7,3.6,0.46,0.481,0.6,0.8,0.741,0.6,2.6,3.2,1.1,0.8,0.7,0.9,1.9,7.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),LAC (3 Yrs),,222.0,52.0,17.8,1.9,4.9,0.398,0.9,2.7,0.318,1.1,2.2,0.499,0.487,0.4,0.5,0.694,0.4,2.5,2.9,0.6,0.9,0.7,0.6,1.8,5.1,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,155.0,121.0,28.9,3.6,8.7,0.42,1.2,3.4,0.36,2.4,5.2,0.458,0.491,1.0,1.2,0.799,0.9,3.4,4.3,1.6,0.9,0.8,1.1,2.4,9.5,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,144.0,127.0,24.6,3.0,7.5,0.398,1.1,3.2,0.341,1.9,4.3,0.44,0.47,0.6,0.9,0.698,0.5,2.4,2.9,1.4,0.6,0.7,1.1,1.9,7.7,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,50.0,21.0,19.1,3.2,7.9,0.407,1.0,3.1,0.323,2.2,4.8,0.461,0.47,0.5,0.7,0.771,0.4,2.0,2.5,0.7,0.4,0.4,1.0,1.1,8.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,26.0,13.0,14.5,1.3,3.4,0.398,0.7,1.9,0.38,0.6,1.5,0.421,0.506,0.2,0.3,0.667,0.4,1.7,2.1,0.6,0.5,0.3,0.5,1.7,3.7,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,12.0,0.0,13.1,0.8,3.3,0.25,0.5,2.2,0.231,0.3,1.2,0.286,0.325,0.6,0.8,0.7,0.2,1.3,1.5,0.6,0.2,0.4,0.5,1.5,2.8,
