Season,Team,Lg,Salary
2008-09,Los Angeles Clippers,NBA,"$550,000"
2009-10,Los Angeles Clippers,NBA,"$736,420"
2010-11,Los Angeles Clippers,NBA,"$854,389"
2011-12,Los Angeles Clippers,NBA,"$10,079,404"
2012-13,Los Angeles Clippers,NBA,"$10,532,977"
2013-14,Los Angeles Clippers,NBA,"$10,986,550"
2014-15,Los Angeles Clippers,NBA,"$11,440,124"
2015-16,Los Angeles Clippers,NBA,"$19,500,000"
2016-17,Los Angeles Clippers,NBA,"$21,165,675"
2017-18,Los Angeles Clippers,NBA,"$22,642,350"
2018-19,New York Knicks,NBA,"$22,897,200"
2019-20,Brooklyn Nets,NBA,"$9,881,598"
2020-21,Brooklyn Nets,NBA,"$10,375,678"
2021-22,Detroit Pistons,NBA,"$7,875,533"
2021-22,Los Angeles Lakers,NBA,"$2,641,691"
2021-22,Philadelphia 76ers,NBA,"$592,103"
2022-23,Detroit Pistons,NBA,"$7,827,907"
2022-23,Denver Nuggets,NBA,"$1,836,090"
2023-24,Denver Nuggets,NBA,"$2,019,706"
2024-25,Denver Nuggets,NBA,"$2,087,519"
Career,(may be incomplete),,"$176,522,914"
