"('Thru 16 Years', 'Player')","('Thru 16 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
DeMar DeRozan,,9.9,9.6,9.2,9.0,8.8,8.8,8.5,7.4,7.3,7.1,6.3,4.7,4.0,3.2,2.5,2.3
Tony Parker,94.6,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7.0,5.9,5.8,4.1,3.8,3.6,3.0
Maurice Cheeks,93.1,10.6,9.4,9.0,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3,
Hal Greer,90.8,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,
Eddie Jones,90.3,10.5,10.1,10.1,9.6,9.1,8.0,7.9,7.2,6.8,6.0,6.0,5.0,3.1,1.1,,
Jason Kidd,90.1,11.3,10.1,9.6,9.3,8.9,8.9,8.5,8.5,8.1,8.0,7.2,7.2,5.9,4.4,4.3,3.7
Lenny Wilkens,89.7,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,2.7,0.4,
Jason Terry,89.5,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,1.9,0.2
Andre Miller,89.1,10.3,8.8,8.8,8.3,8.0,7.0,7.0,7.0,6.2,5.9,5.4,5.3,4.6,2.9,2.2,2.2
Jeff Hornacek,88.6,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5.0,1.2,,
Vince Carter,86.7,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,6.0,5.0,4.3,4.2,3.8,2.9
