Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2002-03,20,DEN,NBA,C,80,53,2258,5.1,9.9,.519,0.0,0.0,.000,5.1,9.8,.521,.519,3.1,5.4,.578,3.3,4.5,7.8,2.4,2.0,1.0,2.9,4.7,13.4,ROY-6
2003-04,21,DEN,NBA,PF,77,77,2504,4.8,9.1,.530,0.0,0.0,.000,4.8,9.0,.532,.530,3.5,5.1,.682,2.2,5.0,7.2,2.4,1.7,0.6,2.6,4.0,13.1,
2004-05,22,DEN,NBA,C,55,18,1317,5.3,10.6,.503,0.0,0.1,.000,5.3,10.5,.505,.503,3.8,5.8,.660,2.8,6.0,8.9,2.3,1.4,1.3,2.6,4.6,14.4,
2005-06,23,DEN,NBA,PF,1,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,
2006-07,24,DEN,NBA,C,64,42,1715,6.2,10.8,.570,0.0,0.0,.000,6.2,10.8,.571,.570,4.1,5.9,.689,3.1,6.3,9.4,1.6,1.3,1.2,2.7,4.4,16.4,
2007-08,25,DEN,NBA,PF,16,1,266,3.9,9.6,.408,0.0,0.1,.000,3.9,9.5,.414,.408,3.7,6.6,.551,4.1,7.7,11.8,2.0,1.2,1.9,2.8,6.2,11.5,
2008-09,26,DEN,NBA,C,77,76,2510,6.1,10.2,.604,0.0,0.1,.200,6.1,10.1,.607,.604,3.8,5.3,.723,2.6,6.0,8.6,1.5,1.4,1.4,2.1,4.0,16.1,
2009-10,27,DEN,NBA,C,82,82,2755,5.5,9.4,.587,0.0,0.0,.000,5.5,9.3,.589,.587,3.8,5.4,.704,2.2,6.0,8.2,2.7,1.5,1.1,1.6,3.7,14.8,
2010-11,28,DEN,NBA,C,75,75,2291,6.3,10.3,.615,0.0,0.1,.200,6.3,10.2,.618,.615,4.5,6.3,.711,2.3,6.7,9.0,2.3,1.3,1.1,2.1,3.7,17.1,
2011-12,29,2TM,NBA,C,39,33,1110,6.8,12.7,.537,0.0,0.1,.000,6.8,12.6,.542,.537,3.7,5.4,.673,2.0,7.4,9.4,2.6,1.4,1.2,3.1,3.1,17.4,
2011-12,29,DEN,NBA,C,28,27,826,6.2,12.2,.509,0.0,0.1,.000,6.2,12.2,.513,.509,3.9,5.8,.677,1.9,7.2,9.1,2.7,1.6,1.1,3.4,3.0,16.4,
2011-12,29,WAS,NBA,C,11,6,284,8.6,14.2,.607,0.0,0.3,.000,8.6,13.9,.618,.607,2.9,4.4,.657,2.5,8.0,10.5,2.4,0.8,1.6,2.4,3.3,20.2,
2012-13,30,WAS,NBA,PF,61,49,1659,6.2,12.9,.480,0.0,0.0,.000,6.2,12.9,.481,.480,4.3,5.8,.729,2.2,6.6,8.8,3.8,1.2,0.8,3.0,3.7,16.6,
2013-14,31,WAS,NBA,PF,53,37,1560,6.9,13.7,.503,0.0,0.1,.200,6.9,13.6,.506,.504,3.6,6.1,.583,1.5,5.3,6.8,3.5,1.5,1.1,2.7,3.8,17.4,
2014-15,32,WAS,NBA,PF,67,58,1693,6.5,12.8,.511,0.0,0.1,.200,6.5,12.7,.513,.512,2.6,4.3,.604,1.8,5.5,7.3,2.6,1.4,0.5,2.6,3.8,15.7,
2015-16,33,WAS,NBA,PF,57,11,1094,6.9,12.6,.544,0.0,0.1,.000,6.9,12.5,.549,.544,3.5,6.1,.578,1.7,6.8,8.5,3.2,1.8,0.9,2.5,5.1,17.3,
2016-17,34,HOU,NBA,C,67,8,1198,7.4,11.9,.617,0.1,0.3,.333,7.3,11.7,.624,.621,3.5,5.9,.589,2.9,5.6,8.5,2.0,1.7,1.2,2.2,4.9,18.3,
2017-18,35,HOU,NBA,C,52,4,758,6.5,11.4,.569,0.0,0.1,.000,6.5,11.3,.574,.569,3.2,5.1,.636,2.6,5.8,8.4,2.1,1.3,0.7,1.8,5.8,16.1,
