"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
DeAndre' Bembry,,2.2,1.2,0.9,0.3,0.2,-0.4
Chuma Okeke,79.4,2.2,1.3,0.7,0.6,0.3,
Kevin S̩raphin,79.3,2.3,1.7,0.8,0.2,0.1,-0.2
Pete Verhoeven,78.7,2.1,1.2,0.8,0.7,0.4,0.0
Derrick Brown,78.4,2.3,1.3,1.0,,,
Bol Bol,78.1,2.3,1.6,0.9,0.1,0.1,0.0
Marty Byrnes,78.1,2.3,1.0,0.9,0.0,,
Reggie Slater,76.7,1.8,1.5,0.8,0.4,0.2,-0.1
Cliff Meely,76.6,1.8,1.2,1.0,0.4,0.2,
Cliff Pondexter,76.0,2.2,1.5,1.0,,,
Henry Walker,75.8,1.9,1.1,0.9,0.5,0.5,
