"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2014-15,19,MIL,NBA,PF,25.0,25.0,738.0,0.49,7.7,0.939,0.43,0.202,0.137,0.171,0.061,0.506,0.717,0.245,0.444,0.333,0.25,0.536,0.75,0.171,43.0,0.313,0.4,0.0,0.0,
2015-16,20,MIL,NBA,PF,76.0,72.0,2408.0,0.493,7.7,0.961,0.461,0.15,0.14,0.21,0.039,0.502,0.657,0.356,0.397,0.339,0.257,0.719,0.778,0.154,129.0,0.514,0.278,0.0,0.0,
2016-17,21,MIL,NBA,PF,51.0,50.0,1728.0,0.49,10.6,0.781,0.416,0.146,0.069,0.15,0.219,0.525,0.673,0.361,0.286,0.385,0.365,0.599,0.985,0.12,92.0,0.309,0.436,3.0,0.0,
2017-18,22,MIL,NBA,PF,31.0,3.0,743.0,0.482,11.8,0.756,0.349,0.145,0.108,0.154,0.244,0.514,0.621,0.375,0.444,0.451,0.383,0.581,0.968,0.136,35.0,0.173,0.5,2.0,0.0,
2018-19,23,2TM,NBA,PF,64.0,17.0,1724.0,0.493,11.6,0.74,0.364,0.148,0.088,0.139,0.26,0.556,0.714,0.432,0.409,0.365,0.313,0.484,0.869,0.128,88.0,0.241,0.383,1.0,0.0,
2018-19,23,CHI,NBA,PF,39.0,17.0,1042.0,0.474,12.2,0.754,0.328,0.147,0.103,0.177,0.246,0.523,0.697,0.426,0.375,0.366,0.325,0.47,0.892,0.108,44.0,0.281,0.406,0.0,0.0,
2018-19,23,WAS,NBA,PF,25.0,0.0,682.0,0.523,11.1,0.716,0.425,0.151,0.063,0.077,0.284,0.613,0.736,0.442,0.5,0.364,0.296,0.504,0.833,0.161,44.0,0.185,0.333,1.0,0.0,
2019-20,24,2TM,NBA,PF,38.0,23.0,917.0,0.51,9.7,0.723,0.438,0.175,0.058,0.051,0.277,0.603,0.729,0.467,0.36,0.273,0.269,0.594,0.969,0.198,79.0,0.319,0.316,2.0,0.0,
2019-20,24,ATL,NBA,PF,32.0,23.0,837.0,0.504,10.6,0.707,0.435,0.176,0.056,0.041,0.293,0.601,0.719,0.464,0.364,0.25,0.27,0.593,0.968,0.188,69.0,0.322,0.324,2.0,0.0,
2019-20,24,SAC,NBA,PF,6.0,0.0,80.0,0.583,8.9,0.889,0.472,0.167,0.083,0.167,0.111,0.625,0.824,0.5,0.333,0.333,0.25,0.6,1.0,0.306,10.0,0.25,0.0,0.0,0.0,
