"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Hassan Whiteside,,10.3,9.5,8.5,6.3,5.8,5.3,5.3,0.9,0.2,0.0,,,
Arvydas Sabonis,87.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,,,
Swen Nater,85.7,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Arnie Risen,85.7,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,
Mehmet Okur,85.5,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,,
Joakim Noah,81.3,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,0.1
Tom Owens,80.8,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,
Dave Robisch,80.6,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Clifford Ray,80.4,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,
Ivica Zubac,79.4,11.7,7.2,6.9,6.8,6.7,6.6,3.2,1.1,1.0,,,,
Mel Daniels,78.8,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,,
