"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Ronny Turiaf,,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0,,
DÄvis BertÄns,89.9,4.0,3.5,3.1,3.1,2.3,0.9,0.9,0.9,,,,
Kenny Gattison,86.4,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0,,,
Charlie Villanueva,85.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,
Craig Smith,85.1,3.9,3.5,3.1,3.0,1.5,1.0,,,,,,
Andrea Bargnani,85.0,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,,
Stromile Swift,83.9,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,,
Terry Catledge,83.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,,,
Kwame Brown,83.3,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Pat Cummings,83.3,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Maxi Kleber,83.2,4.8,3.5,3.0,2.9,2.8,1.4,1.3,0.3,,,,
