"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Robert Swift,,1.1,0.7,0.0,-0.2
Hank Beenders,77.1,1.1,0.9,-0.1,
Daniel Santiago,76.3,1.2,0.6,0.0,0.0
Rich Johnson,76.1,1.2,0.9,0.1,
Keith Closs,75.7,1.1,0.6,0.2,
Josh Harrellson,72.5,1.4,0.7,0.0,
Gene Tormohlen,69.6,1.4,0.8,0.1,0.0
Bernard James,68.8,1.2,0.5,0.1,
Robert Sacre,66.0,1.4,0.8,0.3,-0.1
Stuart Gray,65.4,1.1,0.7,0.4,-0.4
Udoka Azubuike,64.9,1.0,0.6,0.2,0.1
