"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2009-10,21,GSW,NBA,PG,80,77,2896,0.462,16.5,0.668,0.19,0.074,0.113,0.29,0.332,0.474,0.599,0.376,0.388,0.452,0.437,0.307,0.741,0.0,0,0.179,0.574,6,0,ROY-2
2010-11,22,GSW,NBA,PG,74,74,2489,0.48,16.2,0.675,0.169,0.117,0.109,0.28,0.325,0.498,0.618,0.439,0.383,0.495,0.442,0.257,0.801,0.004,3,0.24,0.549,4,0,
2011-12,23,GSW,NBA,PG,26,23,732,0.49,18.0,0.591,0.108,0.101,0.081,0.301,0.409,0.514,0.563,0.267,0.292,0.64,0.455,0.333,0.782,0.0,0,0.19,0.652,0,0,
2012-13,24,GSW,NBA,PG,78,78,2983,0.451,18.5,0.568,0.1,0.103,0.099,0.265,0.432,0.449,0.583,0.343,0.457,0.438,0.453,0.251,0.614,0.002,3,0.147,0.523,6,0,MVP-11
2013-14,25,GSW,NBA,PG,78,78,2846,0.471,18.1,0.555,0.139,0.095,0.077,0.245,0.445,0.509,0.625,0.412,0.557,0.466,0.424,0.197,0.456,0.004,4,0.115,0.437,5,0,"MVP-6,AS,NBA2"
2014-15,26,GSW,NBA,PG,80,80,2613,0.487,17.1,0.518,0.186,0.098,0.072,0.163,0.482,0.528,0.687,0.458,0.515,0.394,0.443,0.332,0.584,0.003,4,0.122,0.557,8,0,"MVP-1,AS,NBA1"
2015-16,27,GSW,NBA,PG,79,79,2700,0.504,17.4,0.446,0.225,0.084,0.048,0.088,0.554,0.566,0.696,0.422,0.447,0.443,0.454,0.372,0.547,0.004,7,0.129,0.482,11,2,"MVP-1,AS,NBA1"
2016-17,28,GSW,NBA,PG,79,79,2638,0.468,18.4,0.453,0.219,0.069,0.049,0.116,0.547,0.537,0.642,0.4,0.451,0.455,0.411,0.413,0.639,0.003,3,0.136,0.449,18,1,"MVP-6,AS,NBA2"
2017-18,29,GSW,NBA,PG,51,51,1631,0.495,18.4,0.42,0.175,0.065,0.073,0.108,0.58,0.595,0.669,0.429,0.54,0.613,0.423,0.417,0.618,0.001,1,0.134,0.358,8,0,"MVP-10,AS,NBA3"
2018-19,30,GSW,NBA,PG,69,69,2331,0.472,19.7,0.396,0.143,0.096,0.046,0.11,0.604,0.525,0.649,0.488,0.419,0.439,0.437,0.464,0.689,0.002,1,0.148,0.517,11,1,"MVP-5,AS,NBA1"
2019-20,31,GSW,NBA,PG,5,5,139,0.402,19.8,0.402,0.207,0.061,0.012,0.122,0.598,0.636,0.706,0.4,1.0,0.6,0.245,0.333,0.667,0.0,0,0.122,0.333,0,0,
2020-21,32,GSW,NBA,PG,63,63,2152,0.482,19.3,0.413,0.148,0.136,0.06,0.069,0.587,0.569,0.663,0.532,0.549,0.457,0.421,0.411,0.588,0.0,0,0.072,0.397,11,0,"MVP-3,AS,NBA1"
2021-22,33,GSW,NBA,PG,64,64,2211,0.437,19.8,0.387,0.12,0.134,0.062,0.071,0.613,0.527,0.599,0.53,0.513,0.414,0.38,0.368,0.572,0.0,0,0.091,0.324,5,0,"MVP-8,AS,NBA2"
2022-23,34,GSW,NBA,PG,56,56,1941,0.493,18.8,0.436,0.107,0.191,0.063,0.076,0.564,0.579,0.76,0.551,0.493,0.465,0.427,0.371,0.593,0.0,0,0.097,0.597,9,1,"MVP-9,CPOY-9,AS,NBA2"
2023-24,35,GSW,NBA,PG,74,74,2421,0.45,19.8,0.394,0.074,0.173,0.065,0.082,0.606,0.515,0.692,0.508,0.426,0.441,0.408,0.399,0.611,0.0,0,0.08,0.557,2,0,"CPOY-1,AS,NBA3"
