0
2003-04 NBA 39.5 (10th)
2004-05 NBA 42.4 (1st)
2005-06 NBA 42.5 (2nd)
2006-07 NBA 40.9 (3rd)
2007-08 NBA 40.4 (3rd)
2008-09 NBA 37.7 (13th)
2009-10 NBA 39.0 (5th)
2010-11 NBA 38.8 (6th)
2011-12 NBA 37.5 (6th)
2012-13 NBA 37.9 (8th)
2013-14 NBA 37.7 (6th)
2014-15 NBA 36.1 (5th)
2015-16 NBA 35.6 (12th)
2016-17 NBA 37.8 (1st)
2017-18 NBA 36.9 (1st)
2019-20 NBA 34.6 (17th)
2023-24 NBA 35.3 (16th)
Active 37.8 (1st)
Career 37.8 (16th)
Career NBA 37.8 (16th)
Career Playoffs 41.3 (15th)
Career NBA Playoffs 41.3 (14th)
