"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Xavier Tillman Sr.,,4.2,2.9,1.8,1.4,-0.3
Bob Doll,92.6,4.0,2.8,1.8,1.6,
Collis Jones,89.5,4.2,3.2,2.1,1.2,
Billy Thompson,89.0,3.6,2.8,1.7,1.6,-0.1
Allan Bristow,87.1,4.3,2.8,1.9,1.9,0.5
Bill Garnett,87.0,3.9,3.5,2.0,1.5,
Reggie Johnson,86.8,3.9,3.0,2.4,1.6,
Donyell Marshall,86.8,4.2,3.0,1.3,1.3,0.3
Eddie Griffin,86.7,3.9,3.2,2.4,1.5,-0.2
Frank Card,85.3,4.2,2.6,2.4,1.9,0.1
Michael Curry,84.7,3.2,2.9,1.7,1.6,-0.2
