"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Monte Morris,,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Joe Harris,91.8,5.5,5.2,4.3,4.0,2.6,0.8,0.5,0.2,0.0,0.0
Frank Selvy,89.2,5.9,5.5,4.1,3.6,2.4,2.3,0.6,0.0,-0.6,
Willie Anderson,88.3,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,
Delonte West,88.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,,
Donte DiVincenzo,87.4,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,,
Martell Webster,87.3,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0
Eddie Miles,87.2,6.0,5.9,4.0,3.7,2.4,2.0,1.2,0.0,-0.9,
Vincent Askew,86.9,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Ja Morant,86.9,6.7,6.0,3.8,3.5,3.2,0.8,,,,
Ron Williams,86.7,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0.0,,
