"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Giannis Antetokounmpo,,14.4,13.2,12.9,12.4,11.9,11.5,11.1,10.2,8.6,7.1,6.2,1.2,,,,
Bailey Howell,91.4,14.0,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5.0,3.1,,,,
Adrian Dantley,90.6,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8.0,7.4,5.7,4.3,3.1,0.1,
Dolph Schayes,88.8,14.8,13.7,13.1,12.8,12.5,12.0,11.8,10.3,9.5,9.4,8.5,8.5,3.1,2.4,-0.1,
Anthony Davis,88.6,14.0,13.7,11.8,11.1,11.0,10.4,9.5,9.0,7.2,6.7,6.1,4.5,3.7,,,
Paul Arizin,88.1,16.0,13.7,13.0,12.3,12.2,9.7,9.2,8.7,7.7,6.3,,,,,,
Bob Pettit,87.5,14.9,14.9,14.8,14.3,13.8,11.6,11.5,11.5,11.0,10.7,7.1,,,,,
Chet Walker,85.2,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,,,
Kevin McHale,84.8,14.8,11.1,11.0,11.0,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4.0,2.8,,,
Rick Barry,84.1,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,,
Shawn Marion,83.3,14.6,13.0,12.5,12.0,11.7,9.8,9.1,7.4,5.6,5.3,5.2,5.0,4.3,4.1,3.7,1.7
