"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2013-14,22,LAC,NBA,SF,43.0,0.0,395.0,0.355,20.2,0.397,0.107,0.05,0.058,0.182,0.603,0.438,0.846,0.333,0.286,0.273,0.301,0.762,0.909,0.0,0.0,0.301,0.5,1.0,0.0,
2014-15,23,2TM,NBA,SF,36.0,2.0,338.0,0.343,18.1,0.343,0.143,0.043,0.0,0.157,0.657,0.375,0.7,0.0,,0.182,0.326,0.778,1.0,0.0,0.0,0.435,0.45,0.0,0.0,
2014-15,23,LAC,NBA,SF,25.0,2.0,263.0,0.426,20.3,0.278,0.13,0.019,0.0,0.13,0.722,0.533,0.857,0.0,,0.286,0.385,0.875,1.0,0.0,0.0,0.487,0.474,0.0,0.0,
2014-15,23,PHO,NBA,SF,11.0,0.0,75.0,0.063,15.9,0.563,0.188,0.125,0.0,0.25,0.438,0.111,0.333,0.0,,0.0,0.0,0.0,,0.0,0.0,0.143,0.0,0.0,0.0,
2015-16,24,DET,NBA,SF,37.0,0.0,429.0,0.439,16.6,0.459,0.204,0.051,0.112,0.092,0.541,0.467,0.55,0.4,0.364,0.444,0.415,0.619,1.0,0.02,2.0,0.491,0.5,0.0,0.0,
2016-17,25,DET,NBA,SF,31.0,5.0,467.0,0.422,17.4,0.43,0.227,0.055,0.047,0.102,0.57,0.473,0.655,0.143,0.333,0.308,0.384,0.769,1.0,0.0,0.0,0.329,0.417,0.0,0.0,
2017-18,26,DET,NBA,SF,62.0,52.0,1732.0,0.489,16.2,0.485,0.198,0.11,0.101,0.077,0.515,0.536,0.741,0.283,0.436,0.5,0.445,0.817,0.968,0.002,1.0,0.267,0.453,1.0,0.0,
2018-19,27,2TM,NBA,SG,63.0,60.0,1879.0,0.412,20.1,0.338,0.111,0.067,0.071,0.089,0.662,0.483,0.606,0.35,0.333,0.547,0.377,0.794,0.953,0.003,2.0,0.26,0.402,0.0,0.0,
2018-19,27,DET,NBA,SG,44.0,44.0,1355.0,0.413,20.0,0.333,0.116,0.077,0.061,0.079,0.667,0.463,0.608,0.294,0.333,0.514,0.388,0.75,0.956,0.005,2.0,0.238,0.457,0.0,0.0,
2018-19,27,LAL,NBA,SG,19.0,16.0,524.0,0.412,20.2,0.353,0.098,0.039,0.098,0.118,0.647,0.537,0.6,0.667,0.333,0.611,0.343,0.897,0.941,0.0,0.0,0.323,0.281,0.0,0.0,
2019-20,28,NYK,NBA,SG,29.0,19.0,684.0,0.402,18.0,0.504,0.161,0.071,0.076,0.196,0.496,0.469,0.694,0.188,0.412,0.409,0.333,0.717,0.973,0.004,1.0,0.27,0.3,0.0,0.0,
2020-21,29,NYK,NBA,SF,65.0,64.0,1949.0,0.442,20.8,0.291,0.087,0.052,0.061,0.091,0.709,0.521,0.633,0.379,0.5,0.51,0.41,0.859,0.975,0.002,1.0,0.317,0.468,1.0,0.0,
2021-22,30,DAL,NBA,SF,68.0,37.0,1902.0,0.401,20.9,0.218,0.096,0.048,0.032,0.042,0.782,0.55,0.688,0.292,0.688,0.429,0.36,0.767,0.986,0.004,2.0,0.446,0.406,0.0,0.0,
2022-23,31,DAL,NBA,SF,78.0,55.0,2364.0,0.409,21.7,0.155,0.077,0.04,0.019,0.019,0.845,0.562,0.75,0.421,0.444,0.222,0.38,0.854,0.98,0.002,1.0,0.491,0.451,0.0,0.0,
2023-24,32,HOU,NBA,SF,44.0,0.0,417.0,0.415,22.1,0.183,0.049,0.037,0.049,0.049,0.817,0.467,1.0,0.333,0.25,0.25,0.403,1.0,0.963,0.0,0.0,0.433,0.552,0.0,0.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,556.0,294.0,12556.0,0.424,19.3,0.327,0.123,0.062,0.059,0.082,0.673,0.506,0.687,0.311,0.428,0.437,0.385,0.797,0.973,0.003,10.0,0.361,0.438,3.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,43.0,1852.0,0.424,19.3,0.327,0.123,0.062,0.059,0.082,0.673,0.506,0.687,0.311,0.428,0.437,0.385,0.797,0.973,0.003,1.0,0.361,0.438,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),,174.0,101.0,3983.0,0.45,17.5,0.422,0.171,0.087,0.082,0.082,0.578,0.502,0.678,0.283,0.394,0.475,0.412,0.778,0.969,0.004,5.0,0.278,0.456,1.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,146.0,92.0,4266.0,0.405,21.3,0.187,0.087,0.044,0.026,0.031,0.813,0.555,0.714,0.349,0.6,0.367,0.37,0.802,0.983,0.003,3.0,0.469,0.43,0.0,0.0,
