"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Dante Cunningham,,3.5,3.4,3.0,2.9,2.4,2.1,2.0,1.9,1.9,1.6,,,,,
J.R. Reid,90.9,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,,,,
Kelly Oubre Jr.,90.4,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4,,,,,
Othella Harrington,89.9,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8,0.0,0.0,,,
Charles Jones,89.8,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.2,0.2,0.0,0.0
Tom McMillen,88.6,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2.0,1.2,0.8,,,,
Tom Hawkins,87.6,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1.0,,,,,
Keith Erickson,86.8,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,,,
Fred Roberts,86.5,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0,,
Vladimir RadmanoviÄ,85.4,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0,,,
Mark Bryant,85.0,3.6,3.2,2.5,2.4,2.3,2.3,2.1,2.1,1.6,1.5,1.1,1.0,0.6,0.0,-0.1
