Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2012-13,21,SAS,NBA,PG,20.0,0.0,192.0,4.9,10.5,0.464,0.4,2.1,0.182,4.5,8.4,0.533,0.482,0.9,2.1,0.455,1.5,4.3,5.8,4.5,1.1,0.4,1.9,2.8,11.1,
2013-14,22,SAS,NBA,SG,17.0,0.0,87.0,7.0,14.5,0.486,0.0,1.2,0.0,7.0,13.2,0.531,0.486,5.8,7.4,0.778,0.4,3.3,3.7,3.7,1.2,0.0,1.7,2.9,19.9,
2014-15,23,SAS,NBA,PG,4.0,0.0,22.0,8.2,9.8,0.833,0.0,0.0,,8.2,9.8,0.833,0.833,1.6,3.3,0.5,0.0,1.6,1.6,0.0,0.0,1.6,1.6,3.3,18.0,
2015-16,24,TOR,NBA,SG,20.0,0.0,452.0,5.5,11.8,0.466,0.6,1.9,0.333,4.9,9.9,0.492,0.493,1.9,2.5,0.75,0.9,2.4,3.3,3.7,1.4,0.2,1.8,3.7,13.5,
2016-17,25,TOR,NBA,PG,10.0,2.0,212.0,5.3,12.1,0.437,1.5,3.7,0.409,3.7,8.3,0.449,0.5,1.4,1.4,1.0,0.7,2.9,3.6,5.3,0.7,0.3,2.4,2.9,13.4,
2017-18,26,IND,NBA,PG,7.0,0.0,143.0,3.0,8.3,0.364,0.8,2.8,0.273,2.3,5.5,0.409,0.409,1.5,1.5,1.0,0.5,3.8,4.3,5.3,2.3,0.5,1.0,2.5,8.3,
2018-19,27,IND,NBA,PG,4.0,0.0,85.0,5.1,10.2,0.5,1.7,3.8,0.444,3.4,6.4,0.533,0.583,0.8,0.8,1.0,0.4,2.5,3.0,1.7,1.3,0.0,0.0,3.0,12.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,33,ORL,NBA,PG,5.0,5.0,124.0,2.9,7.0,0.417,1.5,4.6,0.313,1.5,2.3,0.625,0.521,0.0,0.0,,0.3,2.3,2.6,4.4,1.5,0.6,0.6,2.9,7.3,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,87.0,7.0,1317.0,5.0,10.9,0.458,0.8,2.6,0.323,4.1,8.2,0.502,0.497,1.6,2.2,0.759,0.8,3.0,3.7,4.1,1.3,0.3,1.6,3.1,12.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (3 Yrs),SAS (3 Yrs),SAS (3 Yrs),SAS (3 Yrs),,41.0,0.0,301.0,5.7,11.6,0.495,0.2,1.7,0.143,5.5,9.9,0.554,0.505,2.4,3.7,0.645,1.1,3.8,4.9,3.9,1.1,0.4,1.8,2.9,14.1,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,30.0,2.0,664.0,5.4,11.9,0.457,0.9,2.5,0.37,4.5,9.4,0.48,0.495,1.7,2.2,0.8,0.8,2.5,3.4,4.2,1.2,0.2,2.0,3.5,13.5,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,11.0,0.0,228.0,3.8,9.0,0.421,1.1,3.2,0.35,2.7,5.8,0.459,0.482,1.3,1.3,1.0,0.5,3.3,3.8,3.9,1.9,0.3,0.6,2.7,9.9,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,5.0,5.0,124.0,2.9,7.0,0.417,1.5,4.6,0.313,1.5,2.3,0.625,0.521,0.0,0.0,,0.3,2.3,2.6,4.4,1.5,0.6,0.6,2.9,7.3,
