Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2007-08,22,CHA,NBA,PF,73.0,14.0,1384.0,13.6,0.528,0.118,0.339,10.0,13.8,11.9,9.3,2.1,0.5,11.1,14.9,1.8,1.1,2.9,0.1,-0.7,0.0,-0.7,0.4,
2008-09,23,2TM,NBA,SF,68.0,7.0,1155.0,13.5,0.562,0.26,0.368,8.7,12.3,10.5,7.1,2.5,0.5,11.5,14.6,1.6,1.1,2.7,0.114,-0.1,0.3,0.2,0.7,
2008-09,23,CHA,NBA,SF,20.0,7.0,427.0,10.6,0.507,0.083,0.25,7.3,9.8,8.6,7.3,2.3,0.4,8.6,12.9,0.3,0.5,0.8,0.094,-1.8,1.4,-0.4,0.2,
2008-09,23,PHO,NBA,SF,48.0,0.0,728.0,15.2,0.588,0.349,0.429,9.5,13.7,11.7,7.0,2.7,0.6,12.8,15.6,1.3,0.6,1.9,0.126,0.9,-0.3,0.6,0.5,
2009-10,24,PHO,NBA,SF,82.0,1.0,1991.0,13.6,0.612,0.535,0.282,5.9,9.8,8.0,7.9,2.0,0.6,11.0,13.7,4.0,1.3,5.3,0.129,1.4,0.7,2.1,2.1,6MOY-11
2010-11,25,PHO,NBA,SF,82.0,15.0,2140.0,15.6,0.598,0.402,0.347,6.0,11.2,8.6,7.6,2.1,0.7,9.6,16.9,4.2,1.4,5.6,0.126,1.5,0.2,1.8,2.0,
2011-12,26,PHO,NBA,SG,65.0,60.0,2020.0,15.4,0.575,0.325,0.255,5.4,11.4,8.4,8.8,1.3,0.7,9.1,17.7,4.0,1.1,5.1,0.121,1.6,-0.4,1.2,1.7,
2012-13,27,PHO,NBA,SF,79.0,50.0,2170.0,14.9,0.582,0.405,0.242,4.1,8.9,6.4,14.9,1.8,0.3,12.0,17.2,3.9,0.9,4.8,0.106,1.0,-0.4,0.6,1.5,
2013-14,28,LAC,NBA,SF,74.0,43.0,1729.0,8.9,0.541,0.503,0.13,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,1.2,1.2,2.4,0.068,-1.4,-0.1,-1.5,0.2,
2014-15,29,MIL,NBA,SG,72.0,22.0,1717.0,12.3,0.572,0.454,0.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,2.0,2.1,4.1,0.116,-0.5,1.0,0.6,1.1,
2015-16,30,WAS,NBA,PF,81.0,41.0,2098.0,11.7,0.602,0.489,0.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,2.6,2.0,4.6,0.105,-0.8,0.7,-0.1,1.0,
2016-17,31,PHO,NBA,PF,64.0,7.0,1362.0,10.6,0.579,0.587,0.188,2.4,15.9,9.0,12.5,1.5,0.9,16.3,13.8,1.1,0.7,1.8,0.064,-1.1,0.1,-1.0,0.3,
2017-18,32,PHO,NBA,PF,48.0,0.0,686.0,8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-3.0,0.5,-2.5,-0.1,
2018-19,33,BRK,NBA,PF,59.0,25.0,1220.0,7.8,0.554,0.632,0.192,2.9,10.4,6.7,9.2,1.4,1.0,14.2,10.4,0.6,1.2,1.8,0.07,-2.9,1.1,-1.8,0.1,
2019-20,34,LAL,NBA,PF,45.0,1.0,364.0,7.8,0.558,0.7,0.033,1.8,13.7,7.8,9.5,2.0,0.7,11.6,8.0,0.3,0.5,0.8,0.102,-2.7,2.0,-0.7,0.1,
2020-21,35,LAL,NBA,PF,12.0,0.0,81.0,4.4,0.333,0.667,0.0,5.6,23.5,14.6,7.6,0.6,1.1,18.2,5.9,0.0,0.1,0.1,0.053,-4.4,0.9,-3.5,0.0,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,904.0,286.0,20117.0,12.5,0.576,0.432,0.246,4.6,11.4,8.0,10.2,1.8,0.6,11.7,14.4,27.8,15.2,43.0,0.103,-0.1,0.3,0.2,11.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,26.0,1825.0,12.5,0.576,0.432,0.246,4.6,11.4,8.0,10.2,1.8,0.6,11.7,14.4,2.5,1.4,3.9,0.103,-0.1,0.3,0.2,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (7 Yrs),PHO (7 Yrs),PHO (7 Yrs),PHO (7 Yrs),,468.0,133.0,11097.0,14.0,0.588,0.435,0.279,5.0,11.4,8.2,10.3,1.8,0.6,11.5,15.7,19.0,6.4,25.4,0.11,0.8,0.1,0.8,7.9,
CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),,93.0,21.0,1811.0,12.9,0.523,0.11,0.32,9.4,12.8,11.1,8.8,2.1,0.5,10.6,14.4,2.1,1.6,3.7,0.099,-0.9,0.3,-0.6,0.6,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,57.0,1.0,445.0,7.2,0.529,0.696,0.029,2.5,15.5,9.0,9.1,1.7,0.8,12.5,7.6,0.2,0.6,0.9,0.093,-3.0,1.8,-1.2,0.1,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,81.0,41.0,2098.0,11.7,0.602,0.489,0.201,2.8,12.6,7.6,11.4,1.7,0.7,13.1,12.7,2.6,2.0,4.6,0.105,-0.8,0.7,-0.1,1.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,74.0,43.0,1729.0,8.9,0.541,0.503,0.13,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,1.2,1.2,2.4,0.068,-1.4,-0.1,-1.5,0.2,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,72.0,22.0,1717.0,12.3,0.572,0.454,0.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,2.0,2.1,4.1,0.116,-0.5,1.0,0.6,1.1,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,59.0,25.0,1220.0,7.8,0.554,0.632,0.192,2.9,10.4,6.7,9.2,1.4,1.0,14.2,10.4,0.6,1.2,1.8,0.07,-2.9,1.1,-1.8,0.1,
