"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Anthony Davis,,14.0,13.7,11.8,11.1,11.0,10.4,9.5,9.0,7.2,6.7,6.1,4.5,3.7
Dominique Wilkins,92.3,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7.0,5.8,5.1,3.9
Paul Pierce,92.2,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.1,5.4,4.9
Shawn Marion,91.8,14.6,13.0,12.5,12.0,11.7,9.8,9.1,7.4,5.6,5.2,5.0,4.1,3.7
Bailey Howell,91.7,14.0,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5.0,3.1,
Scottie Pippen,91.7,13.1,12.7,12.3,11.8,11.2,11.2,8.6,7.8,6.6,5.7,4.9,4.0,2.3
John Havlicek,91.5,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.3,6.4,4.5,4.3
Chet Walker,91.4,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Adrian Dantley,91.3,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8.0,7.4,5.7,4.3
Kevin McHale,91.2,14.8,11.1,11.0,11.0,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4.0,2.8
Rick Barry,91.1,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2
