Season,Team,Lg,Salary
2006-07,Boston Celtics,NBA,"$1,143,600"
2007-08,Boston Celtics,NBA,"$1,229,280"
2008-09,Boston Celtics,NBA,"$1,315,080"
2009-10,Boston Celtics,NBA,"$2,094,922"
2010-11,Boston Celtics,NBA,"$9,090,911"
2011-12,Boston Celtics,NBA,"$10,045,455"
2012-13,Boston Celtics,NBA,"$11,000,000"
2013-14,Boston Celtics,NBA,"$11,954,545"
2014-15,Dallas Mavericks,NBA,"$12,909,091"
2015-16,Sacramento Kings,NBA,"$9,500,000"
2016-17,Chicago Bulls,NBA,"$14,000,000"
2017-18,New Orleans Pelicans,NBA,"$3,300,000"
2017-18,Chicago Bulls,NBA,"$3,000,000"
2018-19,Los Angeles Lakers,NBA,"$9,000,000"
2019-20,Los Angeles Lakers,NBA,"$2,564,753"
2020-21,Los Angeles Clippers,NBA,"$8,250,000"
2021-22,Memphis Grizzlies,NBA,"$4,858,309"
2021-22,Cleveland Cavaliers,NBA,"$2,641,691"
Career,(may be incomplete),,"$117,897,637"
