"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Shai Gilgeous-Alexander,,16.7,14.6,11.4,6.1,4.6,3.5,3.3,,,,,,,
Gilbert Arenas,77.8,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.4,0.2,,,
David Thompson,73.4,12.7,12.4,10.7,9.5,6.4,5.4,3.0,2.0,1.0,,,,,
Larry Jones,71.5,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,,,,,,
Steve Francis,68.3,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,,,
Anfernee Hardaway,67.5,14.4,10.7,8.1,7.8,7.1,5.0,2.9,2.3,2.0,1.1,0.4,0.2,0.2,-0.2
Isaiah Thomas,67.3,12.5,9.7,7.7,6.1,5.0,4.3,0.2,0.2,0.0,0.0,-0.2,-0.3,,
Luka DonÄiÄ,65.8,12.0,10.2,8.8,7.7,7.6,5.9,4.9,,,,,,,
Jalen Brunson,64.1,11.2,8.7,8.3,7.5,5.1,2.6,2.1,,,,,,,
Tiny Archibald,63.8,14.2,12.9,11.2,8.9,8.0,6.9,5.2,5.1,2.9,2.8,2.3,1.6,1.4,
James Silas,62.8,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,,,
