Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,22,NJN,NBA,SF,78.0,9.0,1764.0,7.8,19.4,0.401,0.9,3.0,0.31,6.9,16.4,0.417,0.425,3.1,4.3,0.715,1.4,9.0,10.4,6.6,1.3,0.3,3.7,3.8,19.5,92.0,110.0,
2010-11,23,2TM,NBA,SG,21.0,0.0,290.0,7.8,20.9,0.374,1.1,4.0,0.273,6.7,16.9,0.398,0.4,2.5,3.8,0.667,0.7,8.5,9.3,6.9,1.6,0.0,6.0,4.5,19.2,80.0,109.0,
2010-11,23,NJN,NBA,SG,10.0,0.0,206.0,7.5,18.9,0.397,1.0,3.1,0.333,6.5,15.8,0.41,0.425,1.3,2.6,0.5,0.8,8.6,9.3,8.0,1.3,0.0,6.5,5.4,17.4,79.0,110.0,
2010-11,23,HOU,NBA,SG,11.0,0.0,84.0,8.5,25.5,0.333,1.2,6.1,0.2,7.3,19.4,0.375,0.357,5.5,6.7,0.818,0.6,8.5,9.1,4.2,2.4,0.0,4.9,2.4,23.7,82.0,107.0,
2011-12,24,2TM,NBA,SG,30.0,0.0,550.0,7.9,18.4,0.429,1.5,4.3,0.348,6.4,14.2,0.454,0.47,2.5,4.3,0.587,1.2,8.3,9.5,6.1,1.9,0.7,4.0,3.3,19.8,96.0,107.0,
2011-12,24,HOU,NBA,SG,12.0,0.0,181.0,5.8,16.5,0.351,2.3,5.5,0.421,3.5,11.0,0.316,0.421,1.7,3.5,0.5,0.6,7.5,8.1,2.9,1.2,0.3,2.9,4.6,15.6,85.0,107.0,
2011-12,24,SAC,NBA,SG,18.0,0.0,369.0,8.9,19.4,0.461,1.1,3.7,0.296,7.8,15.7,0.5,0.489,2.9,4.7,0.618,1.5,8.7,10.2,7.6,2.2,0.8,4.5,2.6,21.8,99.0,108.0,
2012-13,25,BOS,NBA,SF,24.0,0.0,318.0,7.9,16.0,0.495,0.8,2.5,0.333,7.1,13.5,0.524,0.521,1.5,3.5,0.429,0.7,6.6,7.2,6.3,1.8,0.3,3.6,2.1,18.1,95.0,104.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,153.0,9.0,2922.0,7.8,19.0,0.412,1.0,3.3,0.317,6.8,15.7,0.432,0.439,2.7,4.2,0.659,1.2,8.6,9.8,6.5,1.5,0.3,4.0,3.6,19.4,92.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,88.0,9.0,1970.0,7.7,19.3,0.401,0.9,3.0,0.313,6.8,16.4,0.417,0.425,2.9,4.1,0.701,1.3,8.9,10.3,6.8,1.3,0.3,4.0,3.9,19.3,91.0,110.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,23.0,0.0,265.0,6.7,19.4,0.343,2.0,5.7,0.345,4.7,13.7,0.343,0.394,2.9,4.5,0.652,0.6,7.8,8.4,3.3,1.6,0.2,3.5,3.9,18.2,84.0,107.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,24.0,0.0,318.0,7.9,16.0,0.495,0.8,2.5,0.333,7.1,13.5,0.524,0.521,1.5,3.5,0.429,0.7,6.6,7.2,6.3,1.8,0.3,3.6,2.1,18.1,95.0,104.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,18.0,0.0,369.0,8.9,19.4,0.461,1.1,3.7,0.296,7.8,15.7,0.5,0.489,2.9,4.7,0.618,1.5,8.7,10.2,7.6,2.2,0.8,4.5,2.6,21.8,99.0,108.0,
