Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,19,LAC,NBA,PG,30,15,814,89,215,.414,0,2,.000,89,213,.418,.414,44,59,.746,22,67,89,151,32,11,75,82,222,0,
2005-06,20,LAC,NBA,PG,61,14,1525,149,349,.427,1,8,.125,148,341,.434,.428,53,77,.688,41,142,183,273,46,32,111,160,352,0,
2006-07,21,LAC,NBA,PG,54,31,1611,208,449,.463,5,16,.313,203,433,.469,.469,82,116,.707,56,128,184,274,59,29,108,135,503,0,
2007-08,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2008-09,23,2TM,NBA,PG,12,1,231,31,60,.517,0,0,,31,60,.517,.517,9,10,.900,3,25,28,20,7,2,9,12,71,0,
2008-09,23,MIA,NBA,PG,4,0,41,3,8,.375,0,0,,3,8,.375,.375,3,4,.750,0,2,2,4,2,0,3,4,9,0,
2008-09,23,OKC,NBA,PG,8,1,190,28,52,.538,0,0,,28,52,.538,.538,6,6,1.000,3,23,26,16,5,2,6,8,62,0,
2009-10,24,2TM,NBA,PG,36,18,796,104,201,.517,0,6,.000,104,195,.533,.517,42,48,.875,16,62,78,130,17,11,58,61,250,0,
2009-10,24,OKC,NBA,PG,10,0,130,5,16,.313,0,2,.000,5,14,.357,.313,0,0,,4,16,20,14,5,2,8,9,10,0,
2009-10,24,WAS,NBA,PG,26,18,666,99,185,.535,0,4,.000,99,181,.547,.535,42,48,.875,12,46,58,116,12,9,50,52,240,0,
2010-11,25,CHA,NBA,PG,73,0,1261,185,397,.466,1,4,.250,184,393,.468,.467,108,125,.864,29,120,149,164,47,29,88,109,479,0,
2011-12,26,MIL,NBA,SG,58,27,1092,127,271,.469,2,3,.667,125,268,.466,.472,62,79,.785,39,84,123,122,27,20,66,79,318,0,
2012-13,27,2TM,NBA,PG,66,16,1455,166,346,.480,0,4,.000,166,342,.485,.480,85,98,.867,31,127,158,215,48,31,76,127,417,0,
2012-13,27,WAS,NBA,PG,17,4,320,24,66,.364,0,3,.000,24,63,.381,.364,15,15,1.000,2,35,37,38,11,2,17,22,63,0,
2012-13,27,CLE,NBA,PG,49,12,1135,142,280,.507,0,1,.000,142,279,.509,.507,70,83,.843,29,92,121,177,37,29,59,105,354,0,
