Season,Team,Lg,Salary
2001-02,San Antonio Spurs,NBA,"$744,480"
2002-03,San Antonio Spurs,NBA,"$800,400"
2003-04,San Antonio Spurs,NBA,"$856,200"
2004-05,San Antonio Spurs,NBA,"$1,545,441"
2005-06,San Antonio Spurs,NBA,"$8,400,000"
2006-07,San Antonio Spurs,NBA,"$9,450,000"
2007-08,San Antonio Spurs,NBA,"$10,500,000"
2008-09,San Antonio Spurs,NBA,"$11,550,000"
2009-10,San Antonio Spurs,NBA,"$12,600,000"
2010-11,San Antonio Spurs,NBA,"$13,500,000"
2011-12,San Antonio Spurs,NBA,"$12,500,000"
2012-13,San Antonio Spurs,NBA,"$12,500,000"
2013-14,San Antonio Spurs,NBA,"$12,500,000"
2014-15,San Antonio Spurs,NBA,"$12,500,000"
2015-16,San Antonio Spurs,NBA,"$13,437,500"
2016-17,San Antonio Spurs,NBA,"$14,445,313"
2017-18,San Antonio Spurs,NBA,"$15,453,126"
2018-19,Charlotte Hornets,NBA,"$5,000,000"
Career,(may be incomplete),,"$168,282,460"
