"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Maurice Harkless,,4.2,3.4,3.2,2.9,2.8,2.7,2.4,0.6,0.5,0.3,,,
John Tresvant,89.0,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,,,,
Jason Thompson,88.5,4.0,3.9,3.6,2.9,2.7,2.7,2.4,1.6,,,,,
Doug McDermott,87.1,3.8,3.3,2.9,2.8,2.6,2.3,1.6,1.0,0.9,0.4,0.0,,
Derrick Jones Jr.,86.5,4.7,4.4,3.1,2.9,2.4,2.4,2.2,1.1,0.4,,,,
Allan Bristow,86.0,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,,,
Keith Erickson,85.9,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2,
Anthony Tolliver,85.2,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0.5,0.1,0.0
Trey Lyles,84.7,3.9,3.5,2.6,2.6,2.4,2.3,2.2,1.2,0.8,0.6,,,
Nate Williams,84.7,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,,
Ron Anderson,84.4,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,,,
