"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Charlie Villanueva,,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,,,
Shandon Anderson,90.2,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,,
Stromile Swift,87.6,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,,,,
Kwame Brown,87.2,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,,
Pat Cummings,86.4,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,,
Terry Catledge,85.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,,,,,
Ronny Turiaf,85.2,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0,,,,
Len Chappell,84.6,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,,,,
Eduardo NÃ¡jera,84.5,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,,
James Jones,84.4,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.8,0.7,0.2,0.0
Lamond Murray,84.3,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,,,
