Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2015-16,22,TOR,NBA,SG,49.0,24.0,725.0,13.3,0.541,0.389,0.231,2.6,14.8,8.8,10.4,2.1,1.1,11.3,17.8,0.7,0.9,1.6,0.105,-0.5,0.3,-0.3,0.3,
2016-17,23,TOR,NBA,SG,76.0,18.0,1368.0,14.0,0.552,0.342,0.314,2.2,11.8,7.0,9.3,1.9,0.9,10.8,21.1,1.4,1.4,2.8,0.097,-0.6,0.1,-0.5,0.5,
2017-18,24,TOR,NBA,SG,70.0,18.0,1062.0,8.5,0.492,0.497,0.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,-0.6,1.2,0.6,0.027,-3.2,0.2,-2.9,-0.3,
2018-19,25,TOR,NBA,SG,60.0,3.0,1126.0,13.3,0.596,0.425,0.188,1.6,11.5,6.7,11.6,1.7,1.0,13.1,19.0,1.0,1.4,2.4,0.102,-0.9,0.2,-0.7,0.4,
2019-20,26,TOR,NBA,SG,52.0,26.0,1479.0,16.8,0.624,0.457,0.256,1.9,11.4,6.8,9.7,1.9,1.4,10.4,21.5,2.3,2.3,4.6,0.15,1.2,0.8,2.0,1.5,
2020-21,27,2TM,NBA,SF,69.0,58.0,2205.0,16.2,0.618,0.453,0.295,2.0,8.8,5.3,9.2,1.8,0.8,10.3,22.6,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3,
2020-21,27,TOR,NBA,SG,42.0,31.0,1277.0,17.7,0.645,0.475,0.288,1.6,9.6,5.4,10.0,1.8,0.6,10.8,24.2,2.3,0.9,3.2,0.12,2.2,-0.7,1.5,1.1,
2020-21,27,POR,NBA,SF,27.0,27.0,928.0,14.2,0.576,0.418,0.307,2.6,7.8,5.1,8.1,1.8,1.0,9.5,20.5,1.1,0.4,1.5,0.078,-0.5,-0.7,-1.2,0.2,
2021-22,28,2TM,NBA,SG,45.0,41.0,1458.0,16.3,0.603,0.418,0.385,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,2.4,0.4,2.8,0.093,1.2,-1.5,-0.3,0.6,
2021-22,28,POR,NBA,SF,40.0,39.0,1333.0,15.3,0.593,0.423,0.365,1.4,9.8,5.4,10.0,1.5,1.3,9.0,22.5,1.8,0.3,2.1,0.076,0.6,-1.6,-1.0,0.3,
2021-22,28,LAC,NBA,SG,5.0,2.0,125.0,27.1,0.682,0.381,0.556,2.6,9.1,5.9,19.5,0.8,2.7,8.2,30.0,0.6,0.1,0.7,0.272,7.8,-0.1,7.7,0.3,
2022-23,29,LAC,NBA,SG,60.0,8.0,1567.0,17.1,0.612,0.404,0.39,1.7,10.7,6.3,11.0,1.6,1.0,10.8,26.0,2.1,1.4,3.5,0.107,0.9,-0.7,0.3,0.9,6MOY-4
2023-24,30,LAC,NBA,SG,76.0,3.0,1990.0,13.9,0.626,0.5,0.224,0.9,9.8,5.5,5.9,1.1,1.0,7.3,20.0,2.8,1.3,4.1,0.099,0.4,-1.2,-0.8,0.6,6MOY-4
2024-25,31,LAC,NBA,SG,60.0,60.0,1958.0,17.5,0.615,0.453,0.28,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8,
2025-26,32,MIA,NBA,SG,12.0,12.0,373.0,20.6,0.66,0.419,0.379,0.9,11.6,6.5,12.1,1.7,0.5,9.8,27.9,0.8,0.4,1.3,0.162,4.0,0.3,4.2,0.6,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,629.0,271.0,15311.0,15.3,0.602,0.439,0.283,1.6,10.5,6.1,9.8,1.7,1.0,10.2,22.2,19.4,14.2,33.6,0.105,0.5,-0.4,0.1,8.3,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,35.0,1996.0,15.3,0.602,0.439,0.283,1.6,10.5,6.1,9.8,1.7,1.0,10.2,22.2,2.5,1.9,4.4,0.105,0.5,-0.4,0.1,1.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (6 Yrs),TOR (6 Yrs),TOR (6 Yrs),TOR (6 Yrs),,349.0,120.0,7037.0,14.3,0.586,0.434,0.24,1.8,11.4,6.7,10.3,1.8,1.0,11.6,20.7,7.1,8.0,15.2,0.103,-0.1,0.2,0.0,3.6,
LAC (4 Yrs),LAC (4 Yrs),LAC (4 Yrs),LAC (4 Yrs),,201.0,73.0,5640.0,16.3,0.619,0.452,0.301,1.3,10.0,5.7,9.1,1.5,0.9,9.1,24.0,8.5,5.1,13.6,0.116,1.2,-0.7,0.5,3.6,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,67.0,66.0,2261.0,14.8,0.586,0.421,0.342,1.9,9.0,5.3,9.2,1.6,1.1,9.2,21.6,3.0,0.7,3.6,0.077,0.1,-1.2,-1.1,0.5,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,12.0,12.0,373.0,20.6,0.66,0.419,0.379,0.9,11.6,6.5,12.1,1.7,0.5,9.8,27.9,0.8,0.4,1.3,0.162,4.0,0.3,4.2,0.6,
