Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,19,MIL,NBA,SF,77,23,1897,173,418,0.414,41,118,0.347,132,300,0.44,0.463,138,202,0.683,78,261,339,150,60,61,122,173,525,0,ROY-7
2014-15,20,MIL,NBA,SG,81,71,2541,383,780,0.491,7,44,0.159,376,736,0.511,0.496,257,347,0.741,100,442,542,207,73,85,173,254,1030,0,
2015-16,21,MIL,NBA,PG,80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,5,
2016-17,22,MIL,NBA,SF,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,3,"MVP-7,MIP-1,AS,NBA2,DEF2"
2017-18,23,MIL,NBA,PF,75,75,2756,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,156,597,753,361,109,106,223,231,2014,1,"MVP-6,AS,NBA2"
2018-19,24,MIL,NBA,PF,72,72,2358,721,1247,0.578,52,203,0.256,669,1044,0.641,0.599,500,686,0.729,159,739,898,424,92,110,268,232,1994,5,"MVP-1,DPOY-2,AS,NBA1,DEF1"
2019-20,25,MIL,NBA,PF,63,63,1917,685,1238,0.553,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857,4,"MVP-1,DPOY-1,AS,NBA1,DEF1"
2020-21,26,MIL,NBA,PF,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717,7,"MVP-4,DPOY-5,AS,NBA1,DEF1"
2021-22,27,MIL,NBA,PF,67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,4,"MVP-3,DPOY-6,AS,NBA1,DEF1"
2022-23,28,MIL,NBA,PF,63,63,2024,707,1278,0.553,47,171,0.275,660,1107,0.596,0.572,498,772,0.645,137,605,742,359,52,51,246,197,1959,6,"MVP-3,DPOY-6,AS,NBA1"
2023-24,29,MIL,NBA,PF,73,73,2567,837,1369,0.611,34,124,0.274,803,1245,0.645,0.624,514,782,0.657,196,645,841,476,87,79,250,210,2222,10,"MVP-4,DPOY-9,CPOY-12,AS,NBA1"
2024-25,30,MIL,NBA,PF,67,67,2289,793,1319,0.601,14,63,0.222,779,1256,0.62,0.607,436,707,0.617,147,651,798,433,58,78,206,155,2036,11,"MVP-3,DPOY-8,AS,NBA1"
2025-26,31,MIL,NBA,PF,13,13,414,156,248,0.629,9,18,0.5,147,230,0.639,0.647,84,132,0.636,48,93,141,89,12,15,46,34,405,0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,872,807,28648,7681,13916,0.552,551,1926,0.286,7130,11990,0.595,0.572,5030,7266,0.692,1647,7024,8671,4377,973,1079,2632,2565,20943,56,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,76,2694,722,1309,0.552,52,181,0.286,670,1128,0.595,0.572,473,683,0.692,155,661,815,412,91,101,248,241,1969,5,
